copyright	zengfr	site:http://github.com/zengfr/romhack
900000	obj	[014342, 014394, 01450E, 014564, 0145CA, 014636, 014880, 01493C]	
900002	obj	[01407C, 014342, 014394, 01450E, 014564, 0145CA, 014636, 014880, 01493C]	
908000	scr1	[000BA2, 00CC9A, 0AA978, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
908002	scr1	[000BA4, 00CC9A]	
90BFFC	scr1	[000BA2, 0204B6, 0AA978, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
90BFFE	scr1	[000BA4]	
90C000	scr2	[000BA2, 021448, 0AA978, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
90C002	scr2	[021448]	
90FFFC	scr2	[000BA2, 020570, 021452, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
90FFFE	scr2	[020570, 021452]	
910000	scr3	[000BA2, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
913FFC	scr3	[000BA2, 0AAACC, 0AAADA, 0AAAE8, 0AAAF6]	
914000	pal	[0088F6, 008908, 0089C2, 008E84]	
914002	pal	[00890A, 0089C4, 008E84]	
FF8000	base+  0	[00042C, 00A946, 024DB4, 092F1A, 093612, 093EC0, 093F2A, 094832, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8001	base+  1	[02AF5C, 03544E, 09307E]	
FF8002	base+  2	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8004	base+  4	[00042C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8006	base+  6	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8008	base+  8	[00042C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF800A	base+  A	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF800C	base+  C	[00042C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF800E	base+  E	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8010	base+ 10	[00042C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8012	base+ 12	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8014	base+ 14	[00042C, 0011A4, 0011BE, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8016	base+ 16	[00042C, 000742, 0007AC, 0007C0, 007040, 00704A, 00B148, 018840, 09DD92, 09E3BC, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8017	base+ 17	[000748, 0007B4, 0007C4, 007056, 007060, 00B148, 018846, 09DD96, 09E3D0]	
FF8018	base+ 18	[00042C, 00074E, 0007BC, 0007C8, 007066, 007070, 00B148, 01884C, 09E3E4, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF801A	base+ 1A	[00042C, 00073C, 000784, 006FA6, 006FB0, 00B12C, 09D2BA, 09D32A, 09D5A8, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF801B	base+ 1B	[000744, 007044, 00B14C]	
FF801C	base+ 1C	[00042C, 00074A, 00705A, 00B14C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF801D	base+ 1D	[000750, 00706A, 00B14C]	
FF801E	base+ 1E	[00042C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF801F	base+ 1F	[00073E, 006FAA, 00B130, 09D2BE, 09D32E, 09D5AC]	
FF8020	base+ 20	[00042C, 0007A4, 09D4D0, 09D4E6, 09D4FC, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8021	base+ 21	[0007F0, 09D46E, 09D4B2, 09D4BC]	
FF8022	base+ 22	[00042C, 0007D0, 0007E4, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8023	base+ 23	[0007D8, 0007E8]	
FF8024	base+ 24	[00042C, 0007E0, 0007EC, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8026	base+ 26	[00042C, 000464, 000834, 020726, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8028	base+ 28	[00042C, 000472, 00080E, 00A9E2, 00AD64, 020770, 089F84, 089FA4, 089FCA, 097954, 097C4C, 098410, 098428, 09A46E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF802A	base+ 2A	[00042C, 0004A0, 00056E, 000594, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF802C	base+ 2C	[00042C, 0004A6, 000576, 09841C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF802E	base+ 2E	[00042C, 0004AC, 00057E, 089F36, 089F58, 089F8A, 089FAA, 089FC4, 098422, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8030	base+ 30	[00042C, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8032	base+ 32	[00042C, 006FDA, 00A73C, 00B460, 00B68A, 093D52, 09DD0C, 09DD30, 09DD5A, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8034	base+ 34	[00042C, 000618, 00960E, 009628, 00968A, 0096A4, 00A608, 00A648, 00A664, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8036	base+ 36	[00042C, 000614, 00063A, 009622, 00969E, 00A60C, 00A65C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF8038	base+ 38	[00042C, 00A610, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803A	base+ 3A	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803B	base+ 3B	[0006A6]	
FF803C	base+ 3C	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF803D	base+ 3D	[0006B2]	
