copyright	zengfr	site:http://github.com/zengfr/romhack
900000	obj	[1, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AB, 1AC, 1AD, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, 1B4, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, FFFA]	
900002	obj	[1, 10, 12, 120, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, B0, B1, B2, B3, B4, FFFE]	
908000	scr1	[20]	
908002	scr1	[6]	
90BFFC	scr1	[20]	
90BFFE	scr1	[6]	
90C000	scr2	[20, 5800, 692D]	
90C002	scr2	[105]	
90FFFC	scr2	[5800, 69C4]	
90FFFE	scr2	[145B, 1C00]	
910000	scr3	[1C00]	
913FFC	scr3	[1C00]	
914000	pal	[111, 1111, 2111, 3111, 4111, 5111, 6111, 7111, 8111, 9111, A111, B111, C111, D111, E111, F111]	
914002	pal	[1FCA, 2FCA, 3FCA, 4FCA, 5FCA, 6FCA, 7FCA, 8FCA, 9FCA, AFCA, BFCA, CFCA, DFCA, EFCA, FCA, FFCA]	
FF8000	base+  0	[0, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AB, 1AC, 1AD, 1AE, 1AF, 1B0, 1B1, BBA, BBB, BBC, BBD, BBE, BBF, BC0, BC1, BC2, BC3, BC4, BC5, BC6, BC7, BC8, BC9, BCB, FFF]	
FF8001	base+  1	[28, 63, 64, 65, 66, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 9A, 9B, 9C, 9D, 9E, 9F, A0, A1, A2, A3, A4, A5, E8]	
FF8002	base+  2	[0]	
FF8004	base+  4	[0]	
FF8006	base+  6	[0]	
FF8008	base+  8	[0]	
FF800A	base+  A	[0]	
FF800C	base+  C	[0]	
FF800E	base+  E	[0]	
FF8010	base+ 10	[0]	
FF8012	base+ 12	[0]	
FF8014	base+ 14	[0, 1E73, 2D2E, 2D31, 363A, 40E2, 498C, 5812, 62D0, 62EC, 62EF, 6CF3, 7BA5, 8EC5, 8EE5, 97EF, 97FE, A2BC, A2C1, A2CE, A2DC, C085, C088, C4A5, CEB1, CEB8, CEC9, D7C2, D7C9, E294, EC79, EC94, F591, F9A8, FB5B, FFA8]	
FF8016	base+ 16	[0, 1, 10, 11, 12, 14, 16, 18, 19, 1A, 22, 30, 31, 32, 34, A, CB, CD, CE, CF, DD, DE, DF, E5, E6, E7, E9, EB, ED, EE, EF, F5, F6, F7, FF]	
FF8017	base+ 17	[0, 1, 10, 11, 12, 14, 16, 18, 19, 1A, 22, 30, 31, 32, 34, A, CB, CD, CE, CF, DD, DE, DF, E5, E6, E7, E9, EB, ED, EE, EF, F5, F6, F7, FF]	
FF8018	base+ 18	[0, 1, 10, 11, 12, 14, 16, 18, 19, 1A, 2, 20, 4, 5, 6, 8, 9, DD, DE, DF, E5, E6, E7, E9, EB, ED, EE, EF, F5, F6, F7, F9, FA, FB, FD, FF]	
FF801A	base+ 1A	[0, 8, 9, A, B, C, D, E, F]	
FF801B	base+ 1B	[0, 1, 10, 11, 12, 14, 16, 18, 19, 1A, 2, 20, 21, 22, 30, 31, 32, 34, 4, 5, 6, 8, 9, A]	
FF801C	base+ 1C	[0, 1, 10, 11, 12, 14, 16, 18, 19, 1A, 2, 20, 21, 22, 30, 31, 32, 34, 4, 5, 6, 8, 9, A]	
