copyright	zengfr	site:http://github.com/zengfr/romhack
spr;FFFF90B4; 1; 0; 0; 0; 0;   4;   2;       0;       0;   28102;a0:   28234; 730;8000;     402;  5A	
spr;FFFF90B4; 1; 0; 0; 0; 0;   4;   2;   28234;       0;   28102;a0:   28234; 730;8000;     402;  5A	
spr;FFFF90B4; 1; 0; 0; 0; 0;  20;   1;   28234;       0;   2A00A;a0:   2A010;334C;8000;      8A;  C1	
spr;FFFF90B4; 1; 0; 0; 0; 0;  20;   1;   2A010;       0;   2A00A;a0:   2A010;334C;8000;      8A;  C1	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28234;       0;   28102;a0:   28234; 730;8000;     402;  5A	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28234;       0;   28102;a0:   2823E; 734;8000;     402;  5A	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   2823E;       0;   28102;a0:   28248; 738;8000;     402;  5A	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28248;       0;   28102;a0:   28252; 73C;8000;     402;  5B	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28252;       0;   28102;a0:   2825C; 740;8000;     402;  5B	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   2825C;       0;   28102;a0:   28266; 744;8000;     402;  5B	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28266;       0;   28102;a0:   28270; 748;8000;     402;  5C	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28270;       0;   28102;a0:   2827A; 74C;8000;     402;  5C	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   2827A;       0;   28102;a0:   28284; 750;8000;     402;   0	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28284;       0;   28102;a0:   2828E; 754;8000;     402;   0	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   2828E;       0;   28102;a0:   28298;2170;8000;     402;   0	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   28298;       0;   28102;a0:   282A2;2174;8000;     402;   0	
spr;FFFF90B4; 1; 2; 0; 0; 0;   4;   2;   282A2;       0;   28102;a0:   282AC;2178;8000;     482;   0	
spr;FFFF9174; 1; 0; 0; 0; 0;  20;   1;       0;       0;   2A00A;a0:   2A010;334C;8000;      8A;  C1	
spr;FFFF9234; 1; 0; 0; 0; 0;   0;  12;   276E8;       0;   2757E;a0:   276E8;1CC4;8000;      28;  A9	
spr;FFFF9234; 1; 0; 0; 0; 0;   0;  12;   28234;       0;   2757E;a0:   276E8;1CC4;8000;      28;  A9	
spr;FFFF9234; 1; 0; 0; 0; 0;   4;   2;   2A010;       0;   28102;a0:   28234; 730;8000;     402;  5A	
spr;FFFF9234; 1; 0; 0; 0; 0;  1C;   0;   28234;       0;   29EB4;a0:   29EB8;2150;8000;     48A;  C1	
spr;FFFF9234; 1; 0; 0; 0; 0;  20;   0;       0;       0;   2A00A;a0:   2A010;334C;8000;      8A;  C1	
spr;FFFF9234; 1; 0; 0; 0; 0;  20;   0;   29EB8;       0;   2A00A;a0:   2A010;334C;8000;      8A;  C1	
spr;FFFF9234; 1; 2; 0; 0; 0;   0;  12;   276E8;       0;   2757E;a0:   276E8;1CC4;8000;      28;  A9	
spr;FFFF9234; 1; 2; 0; 0; 0;   0;  12;   276E8;       0;   2757E;a0:   276F2;1CC4;8000; 1000085;  A9	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   28234;       0;   28102;a0:   28234; 730;8000;     402;  5A	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   28234;       0;   28102;a0:   2823E; 734;8000;     402;  5A	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   2823E;       0;   28102;a0:   28248; 738;8000;     402;  5A	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   28248;       0;   28102;a0:   28252; 73C;8000;     402;  5B	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   28252;       0;   28102;a0:   2825C; 740;8000;     402;  5B	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   2825C;       0;   28102;a0:   28266; 744;8000;     402;  5B	
spr;FFFF9234; 1; 2; 0; 0; 0;   4;   2;   28266;       0;   28102;a0:   28270; 748;8000;     402;  5C	
