copyright	zengfr	site:http://github.com/zengfr/romhack
spr;FFFFB274; 1; 0; 0; 0; 0;   C;   0;   A1732;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 0; 0; 0; 0;   C;   0;   A1732;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 0; 0; 0; 0;   C;   0;   A225A;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;       0;       0;a0:   A180E; 9B0;8000; 1000006; 300;1900	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1938;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A30;       0;a0:   A180E; 9B0;8000; 1000006; 300;1900	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A30;       0;a0:   A1CC0;2A34;8000;      D0;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A30;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A90;       0;a0:   A180E; 9B0;8000; 1000006; 300;1900	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1732;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A177C;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A177C;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A177C;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1788;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1788;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1788;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1794;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1794;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17A0;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17A0;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17AC;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17AC;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17B8;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17C4;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17C4;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17D0;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17DC;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17E8;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A17F4;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A180E;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A180E;   A1920;       0;a0:   A1F84; BC4;8000;      82; 300;2800	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A181A;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1826;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1832;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1856;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1862;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18C6;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18C6;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18C6;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18D2;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18D2;   A192C;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18D2;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A18DE;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A19C0;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1D96;   A1A30;       0;a0:   A180E; 9B0;8000; 1000006; 300;1900	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1DDC;   A1A90;       0;a0:   A1DB2; A0C;8000;      C6;1200;3D00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1DEA;   A1A30;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1EAC;       0;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1EAC;   A1A24;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1EAC;   A1A30;       0;a0:   A1D96; B50;8000;      C6;1C00;4B00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1EE0;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A1FD2;   A1A90;       0;a0:   A1DB2; A0C;8000;      C6;1200;3D00	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A22FC;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A2348;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A2356;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A242C;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A242C;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A24EC;       0;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A24EC;   A1A30;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 0;   C;   0;   A24EC;   A1A90;       0;a0:   A1732; 974;8000;      3C; 100;1000	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1732;       0;       0;a0:   A177C; 980;8000;     204; 270;5600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1732;   A1A30;       0;a0:   A177C; 980;8000;     204; 270;5600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1732;   A1A90;       0;a0:   A177C; 980;8000;     204; 270;5600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;       0;       0;a0:   A1788; 984;8000;   10204; 270; 100	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;   A1A30;       0;a0:   A1788; 984;8000;   10204; 270; 100	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;   A1A30;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;   A1A90;       0;a0:   A1788; 984;8000;   10204; 270; 100	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A177C;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;       0;       0;a0:   A1794; 988;8000;   20204; 270; 200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;   A1A30;       0;a0:   A1794; 988;8000;   20204; 270; 200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;   A1A90;       0;a0:   A1794; 988;8000;   20204; 270; 200	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1788;   A1A90;       0;a0:   A2082; A90;8000;       1;2200;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;       0;       0;a0:   A17A0; 98C;8000;   30204; 270; 300	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;       0;       0;a0:   A2082; A90;8000;       1;2200;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;   A1A30;       0;a0:   A17A0; 98C;8000;   30204; 270; 300	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;   A1A30;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;   A1A90;       0;a0:   A17A0; 98C;8000;   30204; 270; 300	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A1794;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;       0;       0;a0:   A17AC; 990;8000;   40204; 270; 400	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;   A1A30;       0;a0:   A17AC; 990;8000;   40204; 270; 400	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;   A1A30;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;   A1A90;       0;a0:   A17AC; 990;8000;   40204; 270; 400	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17A0;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17AC;       0;       0;a0:   A17B8; 994;8000;   50204; 270; 500	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17AC;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17AC;   A1A30;       0;a0:   A17B8; 994;8000;   50204; 270; 500	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17AC;   A1A30;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17AC;   A1A90;       0;a0:   A17B8; 994;8000;   50204; 270; 500	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17B8;       0;       0;a0:   A17C4; 998;8000;   60204; 270; 600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17B8;       0;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17B8;   A1A30;       0;a0:   A17C4; 998;8000;   60204; 270; 600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17B8;   A1A90;       0;a0:   A17C4; 998;8000;   60204; 270; 600	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17B8;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17C4;       0;       0;a0:   A17D0; 99C;8000;   70204; 270; 700	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17C4;   A1A30;       0;a0:   A17D0; 99C;8000;   70204; 270; 700	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17C4;   A1A90;       0;a0:   A17D0; 99C;8000;   70204; 270; 700	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17C4;   A1A90;       0;a0:   A201E; A8C;8000;       1;2153;   0	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17D0;       0;       0;a0:   A17DC; 9A0;8000;   80204; 270; 800	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17D0;   A1A30;       0;a0:   A17DC; 9A0;8000;   80204; 270; 800	
spr;FFFFB274; 1; 2; 0; 0; 2;   C;   0;   A17D0;   A1A90;       0;a0:   A17DC; 9A0;8000;   80204; 270; 800	
