copyright	zengfr	site:http://github.com/zengfr/romhack
a0,w@(a0+0),w@(a0+2),d@(a0+4),w@(a0+8),b@(a6+0),b@(a6+3),b@(a6+4),b@(a6+5),b@(a6+6),b@(a6+7),w@(a6+20),w@(a6+26),d@(a6+28),d@(a6+30),d@(a6+40);	
   2AC1C;335C;8000;      D0;   0; 2; 1; 2; 2; C; 0;   8; 202;   34BCA;       0;   34B90;	
   2AC1C;335C;8000;      D0;   0; 2; 1; 2; 2; C; 0;   8; 204;   34BE8;       0;   34B90;	
   2AC1C;335C;8000;      D0;   0; 2; 1; 2; 2; C; 0;   8; 20A;   34BCA;       0;   34B90;	
   2AC1C;335C;8000;      D0;   0; 2; 2; 2; 2; C; 0;  34;   8;   6C5C6;       0;   6C57A;	
   2AC1C;335C;8000;      D0;   0; 2; 6; 2; 2; C; 0;  38;   A;   6DAC0;       0;   6DA40;	
   2AC1C;335C;8000;      D0;   0; 2; 6; 2; 2; C; 0;  38;   A;   6DAEA;       0;   6DA40;	
   2AC1C;335C;8000;      D0;   0; 2; A; 2; 2; C; 0;  28; 206;   3D4D8;       0;   3D400;	
   2AC1C;335C;8000;      D0;   0; 2; B; 2; 2; C; 0;  28; 400;   3D7A6;       0;   3D6B0;	
   2AC1C;335C;8000;      D0;   0; 2;13; 2; 2; C; 0;  34; 406;   6CFC8;       0;   6CF3E;	
   2AC1C;335C;8000;      D0;   0; 2;14; 2; 2; C; 0;  38; 20A;   6E2EE;       0;   6DF2A;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   348CC;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   348D6;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   348EA;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   348F4;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   348FE;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   34964;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   349E4;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   0;   34A02;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   348CC;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   348D6;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   348E0;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   3497A;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   3498E;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   34A0C;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   2;   34A16;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   4;   348CC;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; 0; 0;   8;   6;   348CC;       0;   34892;	
   2E7D4;2640;8000;     88A;   0; 2; 0; 2; 2; E; 0;   8;   4;   348F4;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   0;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   0;   348EA;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   0;   34928;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   2;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   2;   348F4;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   4;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   4;   348FE;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2; 2; 0;   8;   6;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2;14; 0;   8;   0;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2;14; 0;   8;   2;   348CC;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2;14; 0;   8;   4;   3498E;       0;   34892;	
   2E7E0;2644;8000;     88A;   0; 2; 0; 2; 2;18; 0;   8;   0;   348E0;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   2E856;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   348CC;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   348D6;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   348E0;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   348FE;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   349EE;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   0;   34A16;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   2;   2E860;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   2;   348CC;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   2;   348D6;       0;   34892;	
   2E7EC;264C;8000; 1000A01;5600; 2; 0; 2; 2; 4; 0;   8;   2;   348EA;       0;   34892;	
