copyright	zengfr	site:http://github.com/zengfr/romhack
	
   26650;1C78;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26650;   2A358;   265F4;	
   26650;1C78;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267B4;   2A358;   265F4;	
   2665A;1C7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   2665A;   2A358;   265F4;	
   2665A;1C7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26678;   2A358;   265F4;	
   2665A;1C7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   266AA;   2A358;   265F4;	
   26678;1C88;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   2665A;   2A358;   265F4;	
   26678;1C88;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26678;   2A358;   265F4;	
   26678;1C88;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   266AA;   2A358;   265F4;	
   266AA;3164;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26678;   2A358;   265F4;	
   266AA;3164;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   266AA;   2A358;   265F4;	
   266AA;3164;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267B4;   2A358;   265F4;	
   266F2;1C58;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 0; 0;   0;   0;   2665A;   2A358;   265F4;	
   266F2;1C58;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 0; 0;   0;   0;   267AA;   2A358;   265F4;	
   266F2;1C58;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 0; 0;   0;   0;   267B4;   2A358;   265F4;	
   266F2;1C58;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 0; 0;   0;   0;   26838;   2A358;   265F4;	
   266F2;1C58;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   266F2;   2A358;   265F4;	
   266FC;1C5C;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   266F2;   2A358;   265F4;	
   26706;1C60;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   266FC;   2A358;   265F4;	
   26710;1C64;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26706;   2A358;   265F4;	
   2671A;1C68;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26710;   2A358;   265F4;	
   26724;1C6C;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   2671A;   2A358;   265F4;	
   2672E;1C70;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26724;   2A358;   265F4;	
   26738;1C74;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   2672E;   2A358;   265F4;	
   26742;3140;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26738;   2A358;   265F4;	
   2674C;3144;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26742;   2A358;   265F4;	
   26756;3148;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   2674C;   2A358;   265F4;	
   26760;314C;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26756;   2A358;   265F4;	
   2676A;3150;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26760;   2A358;   265F4;	
   26774;3154;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   2676A;   2A358;   265F4;	
   2677E;3158;8000;       1;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   26774;   2A358;   265F4;	
   26788;315C;8000;      81;   0;FFFF93B4; 1; 0; 2; C; 2; 0;   0;   0;   2677E;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 0; 0; 0; 0;   0;   0;   29EB8;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   266F2;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   26742;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   2676A;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   2677E;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   26794;   2A358;   265F4;	
   26794;1CC0;8000;      28;  A0;FFFF93B4; 1; 0; 2; 0; 2; 0;   0;   0;   26794;   2A358;   265F4;	
   2679E;1CC0;8000; 1000085;  A0;FFFF93B4; 1; 0; 2; 0; 0; 0;   0;   0;   26794;   2A358;   265F4;	
   267AA;1D7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26650;   2A358;   265F4;	
   267AA;1D7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26794;   2A358;   265F4;	
   267AA;1D7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   2679E;   2A358;   265F4;	
   267AA;1D7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267AA;   2A358;   265F4;	
   267AA;1D7C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267B4;   2A358;   265F4;	
   267B4;1D80;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26650;   2A358;   265F4;	
   267B4;1D80;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26794;   2A358;   265F4;	
   267B4;1D80;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267AA;   2A358;   265F4;	
   267B4;1D80;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   267B4;   2A358;   265F4;	
   26838;1CA4;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26838;   2A358;   265F4;	
   26838;1CA4;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   2687E;   2A358;   265F4;	
   26874;3184;8000;     40A;  80;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26874;   2A358;   265F4;	
   26874;3184;8000;     40A;  80;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26888;   2A358;   265F4;	
   2687E;3188;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26874;   2A358;   265F4;	
   2687E;3188;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   2687E;   2A358;   265F4;	
   26888;318C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26794;   2A358;   265F4;	
   26888;318C;8000;       A;   0;FFFF93B4; 1; 0; 2; 8; 0; 0;   0;   0;   26888;   2A358;   265F4;	
   268E2;1984;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   268E2;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   2690A;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26964;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF9234; 1; 1; 2; 8; 0; 0;   0;   2;   26978;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF92F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;       0;   268BC;	
   268E2;1984;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   2A216;   268BC;	
   268E2;1984;8000;       A;   0;FFFF9774; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   2A216;   268BC;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268E2;   28B82;   268BC;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   268F6;   28B82;   268BC;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26964;   28B82;   268BC;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   2696E;   28B82;   268BC;	
   268E2;1984;8000;       A;   0;FFFF98F4; 1; 0; 2; 8; 0; 0;   0;   2;   26978;   28B82;   268BC;	
