copyright	zengfr	site:http://github.com/zengfr/romhack
000003	[66]
000068	[0]
00006A	[542]
000082	[8DA]
000086	[912]
00008A	[93A]
00008E	[974]
000092	[9C2]
0000B2	[A2E]
000502	[FF]
000504	[266]
000506	[FF]
000508	[326]
00050A	[FF]
00050C	[3E6]
00050E	[FF]
000510	[4A6]
000512	[FF]
000514	[566]
000516	[FF]
000518	[626]
00051A	[FF]
00051C	[6E6]
00051E	[FF]
000520	[7A6]
000522	[FF]
000524	[866]
000526	[FF]
000528	[926]
00052A	[FF]
00052C	[9E6]
00052E	[FF]
000530	[AA6]
000532	[FF]
000534	[B66]
000536	[FF]
000538	[C26]
00053A	[FF]
00053C	[CE6]
00053E	[FF]
000540	[DA6]
00088C	[0]
00088E	[8A2]
000894	[0]
000896	[8B8]
0010CC	[1]
0010CE	[203]
0010D0	[400]
0010D4	[807]
0010D6	[605]
0010D8	[400]
0010DC	[809]
0010E4	[100F]
0010E8	[C00]
0010EC	[1F]
0010EE	[1E1D]
0010F0	[1C00]
0010F4	[1819]
0010F6	[1A1B]
0010F8	[1C00]
0010FC	[1817]
0010FE	[1615]
001100	[1400]
001106	[1213]
00113C	[8C0]
00113E	[8D0]
001140	[8E0]
001142	[8C1]
001144	[8D1]
001146	[8E1]
001148	[8C2]
00114A	[8D2]
00114C	[8E2]
00114E	[8C3]
001150	[8D3]
001152	[8E3]
001154	[8C4]
001156	[8D4]
001158	[8E4]
00115A	[8C5]
00115C	[8D5]
00115E	[8E5]
001160	[8C6]
001162	[8D6]
001164	[8E6]
001166	[8C7]
001168	[8D7]
00116A	[8E7]
00116C	[8C8]
00116E	[8D8]
001170	[8E8]
001172	[8C9]
001174	[8D9]
001176	[8E9]
001178	[8CA]
00117A	[8DA]
00117C	[8EA]
00117E	[8CB]
001180	[8DB]
001182	[8EB]
001184	[8CC]
001186	[8DC]
001188	[8EC]
00118A	[8CD]
00118C	[8DD]
00118E	[8ED]
001190	[8CE]
001192	[8DE]
001194	[8EE]
001196	[20]
001198	[20]
00119A	[8EF]
0011F4	[1]
0011F5	[0]
0011F6	[2]
0011F7	[0]
0011FA	[8]
0011FB	[0]
00163E	[9]
001640	[E41C]
001642	[9]
001644	[F414]
001646	[A]
001648	[6AC]
00164E	[9]
001650	[EDFE]
001652	[9]
001654	[FECA]
001656	[A]
001658	[115A]
00165E	[9]
001660	[F094]
00168E	[9]
001690	[EACC]
001692	[9]
001694	[FB94]
001696	[A]
001698	[E8C]
0017DA	[12]
0017DC	[2928]
0017DE	[12]
0017E0	[2AA8]
0017E2	[12]
0017E4	[2C28]
0017EA	[12]
0017EC	[2F28]
0017FA	[12]
0017FC	[3528]
001806	[12]
001808	[29A8]
00180A	[12]
00180C	[2A28]
00180E	[12]
001810	[2B28]
001812	[12]
001814	[2BA8]
00181A	[12]
00181C	[2D28]
00181E	[12]
001820	[2E28]
001822	[12]
001824	[2EA8]
00182E	[12]
001830	[3128]
00184A	[12]
00184C	[3728]
004E56	[10]
004E66	[420]
004E68	[0]
004E6A	[128]
004E6C	[410]
004E6E	[0]
004E70	[138]
004E72	[400]
004E74	[0]
004E76	[148]
004E78	[38]
004E7A	[0]
004E7C	[40]
004E7E	[24]
004E80	[0]
004E82	[30]
004E84	[10]
004E86	[0]
004E88	[38]
005064	[0]
005066	[50E4]
005068	[0]
00506A	[5104]
00506C	[0]
00506E	[5124]
005074	[0]
005076	[5164]
005078	[0]
00507A	[5184]
00507C	[0]
00507E	[51A4]
005084	[0]
005086	[51E4]
005088	[0]
00508A	[5204]
00508C	[0]
00508E	[5224]
0050E4	[0]
0050E6	[EC]
0050E8	[E6]
0050EA	[C4]
0050EC	[19E]
0050EE	[0]
0050F0	[E6]
0050F2	[FF3C]
0050F4	[0]
0050F6	[FF14]
0050F8	[FF1A]
0050FA	[FF3C]
0050FC	[FE62]
0050FE	[0]
005100	[FF1A]
005102	[C4]
005104	[0]
005106	[F8]
00510C	[1B3]
00510E	[0]
005110	[F1]
005112	[FF32]
005114	[0]
005116	[FF08]
005118	[FF0F]
00511A	[FF32]
00511C	[FE4D]
00511E	[0]
005120	[FF0F]
005122	[CE]
005124	[0]
005126	[F1]
005128	[EA]
00512A	[C8]
00512C	[1A6]
00512E	[0]
005130	[EA]
005132	[FF38]
005134	[0]
005136	[FF0F]
005138	[FF16]
00513A	[FF38]
00513C	[FE5A]
00513E	[0]
005140	[FF16]
005142	[C8]
00516C	[34C]
00516E	[0]
00517C	[FCB4]
00517E	[0]
00518C	[366]
00518E	[0]
00519C	[FC9A]
00519E	[0]
0051AC	[380]
0051AE	[0]
0051BC	[FC80]
0051BE	[0]
0051EC	[74C]
0051EE	[0]
0051FC	[F8B4]
0051FE	[0]
00520C	[766]
00520E	[0]
00521C	[F89A]
00521E	[0]
00522C	[780]
00522E	[0]
00523C	[F880]
00523E	[0]
0053A2	[0]
0053A4	[53E2]
0053A6	[0]
0053A8	[5526]
0053AA	[0]
0053AC	[566A]
0053B2	[0]
0053B4	[54BA]
0053B6	[0]
0053B8	[55FE]
0053BA	[0]
0053BC	[5742]
005406	[260]
005408	[0]
00540A	[650]
00540C	[FFB6]
00540E	[0]
005410	[0]
0054DE	[280]
0054E0	[18]
0054E2	[600]
0054E4	[FFB6]
0054E6	[0]
0054E8	[0]
00550E	[FD80]
005510	[FFE8]
005512	[600]
005514	[FFB6]
005516	[0]
005518	[0]
00554A	[260]
00554C	[0]
00554E	[6CD]
005550	[FFB6]
005552	[0]
005554	[0]
005622	[280]
005624	[18]
005626	[500]
005628	[FFC0]
00562A	[0]
00562C	[0]
005652	[FD80]
005654	[FFE8]
005656	[500]
005658	[FFC0]
00565A	[0]
00565C	[0]
00568E	[210]
005690	[0]
005692	[7A0]
005694	[FFA8]
005696	[0]
005698	[0]
005766	[280]
005768	[18]
00576A	[700]
00576C	[FFB0]
00576E	[0]
005770	[0]
005796	[FD80]
005798	[FFE8]
00579A	[700]
00579C	[FFB0]
00579E	[0]
0057A0	[0]
005C36	[0]
005C38	[5C46]
005C3A	[0]
005C3C	[5C5E]
005C3E	[0]
005C40	[5C76]
005C4C	[4]
005C64	[5]
005C78	[4]
005C7C	[0]
005D1C	[0]
005D1E	[5D9C]
005D20	[0]
005D22	[5DCC]
005D24	[0]
005D26	[5DFC]
005D2C	[0]
005D2E	[5D3C]
005D30	[0]
005D32	[5D54]
005D34	[0]
005D36	[5D6C]
005D42	[8000]
005D5A	[8000]
005D6E	[8000]
005EDE	[0]
005EE0	[5EEE]
005EE2	[0]
005EE4	[5F10]
005EE6	[0]
005EE8	[5F32]
005EF4	[10]
005F16	[13]
005F34	[F]
0066F4	[FF]
0066F6	[B3F4]
0066F8	[FF]
0066FA	[B574]
0066FC	[FF]
0066FE	[B274]
006700	[FF]
006702	[B574]
006704	[FF]
006706	[B274]
006708	[FF]
00670A	[B3F4]
006AD6	[6]
006AD8	[36]
006B7C	[A]
006B7D	[A]
006B7E	[A]
006C02	[18]
006C16	[50]
006C18	[0]
006C3A	[1414]
006C42	[A08]
006C44	[140A]
006C46	[3C3C]
006C48	[3C3C]
006D6E	[E]
006D70	[BC]
006D72	[382]
006D74	[580]
007232	[2]
007234	[103]
007236	[0]
007237	[0]
007238	[2]
007239	[8]
00723A	[1]
00723B	[4]
00723C	[3]
00723D	[C]
00824E	[90]
008250	[A0E8]
008252	[90]
008254	[A8E8]
008256	[90]
008258	[B0E8]
00843A	[18B]
00843C	[20]
00843E	[20]
008440	[20]
008442	[20]
008444	[20]
008446	[20]
008448	[20]
00844A	[20]
00844C	[20]
00844E	[20]
008450	[20]
008452	[20]
008454	[20]
008456	[20]
008458	[2F2F]
00845A	[20]
00845C	[20]
00845E	[20]
008460	[20]
008462	[20]
008464	[20]
008466	[20]
008468	[20]
00846A	[20]
00846C	[20]
00846E	[20]
008470	[20]
008472	[20]
008474	[20]
008476	[4040]
00867E	[18B]
008680	[5CC]
008682	[5CD]
008684	[5CE]
008686	[5CF]
008688	[640]
00868A	[641]
00868C	[642]
00868E	[643]
008690	[644]
008692	[645]
008694	[646]
008696	[647]
008698	[648]
00869A	[649]
00869C	[2F2F]
00869E	[5DC]
0086A0	[5DD]
0086A2	[5DE]
0086A4	[5DF]
0086A6	[650]
0086A8	[651]
0086AA	[652]
0086AC	[653]
0086AE	[654]
0086B0	[655]
0086B2	[656]
0086B4	[657]
0086B6	[658]
0086B8	[659]
0086BA	[4040]
008A5E	[1]
008A5F	[3]
008A60	[C]
008A61	[0]
008A62	[B]
008A63	[0]
008A64	[8]
008A65	[0]
008A66	[0]
008A67	[3]
008A68	[D]
008A69	[0]
008A6A	[C]
008A6B	[0]
008A6C	[A]
008A6D	[0]
008AE0	[B]
008AE2	[CA52]
008AE4	[B]
008AE6	[CA52]
008BA0	[B]
008BA2	[FA52]
008BB0	[B]
008BB2	[FE52]
008C52	[C]
008C54	[2252]
008C56	[C]
008C58	[2252]
008D02	[C]
008D04	[4E52]
008D12	[C]
008D14	[5252]
008DEC	[0]
008DEE	[7F7F]
008DF0	[7FFF]
008DF2	[59FF]
008E2C	[0]
008E2E	[7F00]
008E30	[7FFE]
008E32	[1]
008E3C	[0]
008E3E	[7E01]
008E40	[FF]
008E42	[1FF]
008E8E	[0]
008E90	[8F0E]
008E92	[0]
008E94	[8F4E]
008E9A	[0]
008E9C	[8FCE]
008EAA	[0]
008EAC	[90CE]
008F0E	[0]
008F10	[1]
008F12	[2]
008F14	[3]
008F16	[4]
008F18	[5]
008F1A	[6]
008F1C	[7]
008F1E	[8]
008F20	[9]
008F22	[B]
008F24	[1E3]
008F26	[1E7]
008F28	[D]
008F2A	[E]
008F2C	[F]
008F2E	[10]
008F30	[11]
008F32	[12]
008F34	[13]
008F36	[14]
008F38	[15]
008F3A	[16]
008F3C	[18]
008F3E	[19]
008F40	[1B]
008F42	[3D]
008F44	[1A]
008F46	[1E8]
008F48	[31]
008F4A	[0]
008F4C	[0]
008F4E	[0]
008F50	[1]
008F52	[2]
008F54	[3]
008F56	[4]
008F58	[5]
008F5A	[6]
008F5C	[7]
008F5E	[8]
008F60	[9]
008F62	[B]
008F64	[1E3]
008F66	[1E7]
008F68	[D]
008F6A	[E]
008F6C	[F]
008F6E	[10]
008F70	[11]
008F72	[12]
008F74	[13]
008F76	[14]
008F78	[15]
008F7A	[16]
008F7C	[18]
008F7E	[19]
008F80	[1B]
008F82	[3D]
008F84	[1A]
008F86	[1E8]
008F88	[1E8]
008F8A	[0]
008F8C	[0]
008FCE	[0]
008FD0	[1]
008FD2	[2]
008FD4	[3]
008FD6	[4]
008FD8	[5]
008FDA	[6]
008FDC	[7]
008FDE	[8]
008FE0	[9]
008FE2	[A]
008FE4	[1D1]
008FE6	[1D2]
008FE8	[1D3]
008FEA	[1D4]
008FEC	[1D5]
008FEE	[1C0]
008FF0	[1C1]
008FF2	[1C2]
008FF4	[1C3]
008FF6	[1C4]
008FF8	[1C5]
008FFA	[1C6]
008FFC	[1C7]
008FFE	[1C8]
009000	[1C9]
009002	[1CB]
009004	[1CC]
009006	[1CD]
009008	[1CE]
00900A	[1CF]
00900C	[1D0]
0090CE	[0]
0090D0	[1]
0090D2	[2]
0090D4	[3]
0090D6	[4]
0090D8	[5]
0090DA	[6]
0090DC	[7]
0090DE	[8]
0090E0	[9]
0090E2	[B]
0090E4	[0]
0090E6	[0]
0090E8	[68]
0090EA	[E]
0090EC	[F]
0090EE	[10]
0090F0	[2D]
0090F2	[12]
0090F4	[2B]
0090F6	[2C]
0090F8	[15]
0090FA	[16]
0090FC	[18]
0090FE	[2A]
009100	[1B]
009102	[31]
009104	[2F]
009106	[2D]
009108	[69]
00910A	[6A]
00910C	[2A]
0096AD	[1]
0096AE	[39]
0096B0	[2]
0096B1	[3A]
0096B3	[3]
0096B4	[3B]
0096B9	[0]
0096BA	[66]
009926	[3C]
009974	[4B]
009979	[C6]
00997E	[C5]
0099DE	[46]
0099E2	[BE]
0099E6	[C1]
009A26	[4F]
009A2B	[D2]
009A30	[CF]
009A74	[50]
009AE0	[FF]
009AE2	[B574]
009AEE	[A3]
009AF4	[7205]
009C72	[62DE]
009C74	[DF00]
00A556	[0]
00A557	[1]
00A558	[2]
00A582	[203]
00A66A	[0]
00A66B	[0]
00A66C	[1]
00A66E	[3]
00A66F	[4]
00A670	[4]
00A671	[5]
00A672	[6]
00A673	[7]
00A674	[7]
00A675	[8]
00A676	[9]
00A677	[A]
00A678	[A]
00A679	[B]
00A67A	[B]
00A67B	[C]
00A67C	[D]
00A67D	[D]
00A67E	[E]
00A67F	[E]
00A680	[F]
00A681	[F]
00A682	[10]
00A683	[10]
00A684	[11]
00A685	[11]
00A686	[12]
00A687	[12]
00A688	[13]
00A689	[14]
00A68A	[14]
00A68B	[15]
00A68C	[15]
00A68D	[16]
00A68E	[17]
00A68F	[18]
00A690	[18]
00A691	[19]
00A692	[1B]
00A693	[1C]
00A694	[1C]
00A695	[1D]
00A696	[1E]
00A697	[1F]
00A698	[20]
00A699	[20]
00A958	[0]
00A95A	[A978]
00A95C	[0]
00A95E	[AD46]
00A964	[0]
00A966	[AAF6]
00AB3A	[8]
00AD58	[6]
00AD5A	[224]
00AD5C	[AB8]
00AEFC	[10C]
00AEFE	[4]
00AF00	[50]
00AF02	[10]
00AF04	[10C]
00AF06	[C]
00AF08	[50]
00AF0A	[10]
00AF74	[80]
00AF76	[A2]
00AF78	[82]
00AF7A	[80]
00B078	[2E]
00B07A	[82]
00B07C	[62A]
00B07E	[110]
00B080	[0]
00B082	[88]
00B084	[0]
00B086	[110]
00B088	[4]
00B08A	[78]
00B08C	[0]
00B08E	[110]
00B090	[8]
00B092	[68]
00B094	[0]
00B10A	[FF]
00B10C	[8016]
00B10E	[FF]
00B110	[801B]
00B112	[FF]
00B114	[8017]
00B116	[FF]
00B118	[801C]
00B11A	[FF]
00B11C	[8018]
00B11E	[FF]
00B120	[801D]
00B24A	[0]
00B24B	[2]
00B24C	[1]
00B24E	[0]
00B24F	[B]
00B250	[15]
00B252	[FF]
00B254	[B274]
00B256	[FF]
00B258	[B3F4]
00B25A	[FF]
00B25C	[B574]
00B28C	[90]
00B28E	[A0DC]
00B290	[90]
00B292	[A8DC]
00B294	[90]
00B296	[B0DC]
00B2D2	[0]
00B2D4	[B2E2]
00B2D6	[0]
00B2D8	[B302]
00B2DA	[0]
00B2DC	[B322]
00B2E2	[480]
00B2E4	[490]
00B2E6	[4A0]
00B2E8	[4B0]
00B2EA	[481]
00B2EC	[491]
00B2EE	[4A1]
00B2F0	[4B1]
00B2F2	[482]
00B2F4	[492]
00B2F6	[4A2]
00B2F8	[4B2]
00B2FA	[483]
00B2FC	[493]
00B2FE	[4A3]
00B300	[4B3]
00B302	[484]
00B304	[494]
00B306	[4A4]
00B308	[4B4]
00B30A	[485]
00B30C	[495]
00B30E	[4A5]
00B310	[4B5]
00B312	[486]
00B314	[496]
00B316	[4A6]
00B318	[4B6]
00B31A	[487]
00B31C	[497]
00B31E	[4A7]
00B320	[4B7]
00B322	[488]
00B324	[498]
00B326	[4A8]
00B328	[4B8]
00B32A	[489]
00B32C	[499]
00B32E	[4A9]
00B330	[4B9]
00B332	[48A]
00B334	[49A]
00B336	[4AA]
00B338	[4BA]
00B33A	[48B]
00B33C	[49B]
00B33E	[4AB]
00B340	[4BB]
00B362	[10]
00B364	[11]
00B366	[12]
00B396	[8]
00B398	[13]
00B39A	[1E]
00B39E	[20]
00B39F	[20]
00B3A0	[4A]
00B3A1	[41]
00B3A2	[43]
00B3A3	[4B]
00B3A4	[2E]
00B3A5	[54]
00B3A6	[20]
00B3A7	[20]
00B3A8	[40]
00B3A9	[20]
00B3AA	[48]
00B3AB	[41]
00B3AC	[4E]
00B3AD	[4E]
00B3AE	[41]
00B3AF	[48]
00B3B0	[2E]
00B3B1	[44]
00B3B2	[20]
00B3B3	[40]
00B3B4	[4D]
00B3B5	[55]
00B3B6	[53]
00B3B7	[54]
00B3B8	[41]
00B3B9	[50]
00B3BA	[48]
00B3BB	[41]
00B3BC	[2E]
00B3BD	[43]
00B3BE	[40]
00B3E6	[50]
00B3E7	[4F]
00B3E8	[57]
00B3E9	[45]
00B3EA	[52]
00B3EB	[40]
00B3EC	[53]
00B3ED	[50]
00B3EE	[45]
00B3EF	[45]
00B3F0	[44]
00B3F1	[40]
00B3F2	[53]
00B3F3	[4B]
00B3F4	[49]
00B3F5	[4C]
00B3F6	[4C]
00B3F7	[40]
00B444	[4]
00B445	[3]
00B446	[3]
00B447	[2]
00B448	[4]
00B449	[5]
00B44A	[3]
00B44B	[5]
00B44C	[3]
00B57C	[0]
00B57E	[B58C]
00B580	[0]
00B582	[B5C8]
00B584	[0]
00B586	[B604]
00B58C	[20]
00B58E	[20]
00B590	[20]
00B592	[20]
00B594	[20]
00B596	[20]
00B598	[20]
00B59A	[20]
00B59C	[20]
00B59E	[20]
00B5A0	[20]
00B5A2	[20]
00B5A4	[20]
00B5A6	[20]
00B5A8	[40]
00B5AA	[22]
00B5AC	[138]
00B5AE	[140]
00B5B0	[140]
00B5B2	[135]
00B5B4	[20]
00B5B6	[12E]
00B5B8	[12F]
00B5BA	[13A]
00B5BC	[13D]
00B5BE	[13A]
00B5C0	[145]
00B5C2	[14A]
00B5C4	[22]
00B5C6	[40]
00B5C8	[20]
00B5CA	[20]
00B5CC	[20]
00B5CE	[20]
00B5D0	[20]
00B5D2	[20]
00B5D4	[20]
00B5D6	[20]
00B5D8	[20]
00B5DA	[20]
00B5DC	[20]
00B5DE	[20]
00B5E0	[20]
00B5E2	[20]
00B5E4	[40]
00B5E6	[22]
00B5E8	[13A]
00B5EA	[145]
00B5EC	[136]
00B5EE	[13E]
00B5F0	[20]
00B5F2	[144]
00B5F4	[13C]
00B5F6	[13A]
00B5F8	[13D]
00B5FA	[13D]
00B5FC	[136]
00B5FE	[135]
00B600	[22]
00B602	[40]
00B604	[20]
00B606	[20]
00B608	[20]
00B60A	[20]
00B60C	[20]
00B60E	[20]
00B610	[20]
00B612	[20]
00B614	[20]
00B616	[20]
00B618	[20]
00B61A	[20]
00B61C	[20]
00B61E	[20]
00B620	[40]
00B622	[22]
00B624	[137]
00B626	[13D]
00B628	[14A]
00B62A	[13A]
00B62C	[13F]
00B62E	[138]
00B630	[20]
00B632	[13C]
00B634	[13A]
00B636	[134]
00B638	[13C]
00B63A	[144]
00B63C	[22]
00B63E	[40]
00B6B0	[6]
00B6B2	[7E]
00B6B4	[15E]
00B70E	[91]
00B710	[4800]
00B712	[B]
00B714	[FF92]
00B716	[91]
00B718	[4340]
00B71A	[B]
00B71C	[B432]
00B71E	[91]
00B720	[4840]
00B722	[B]
00B724	[FFB2]
00B78E	[91]
00B790	[4600]
00B792	[0]
00B794	[B7AE]
00B796	[91]
00B798	[4620]
00B79A	[0]
00B79C	[B7C6]
00B79E	[91]
00B7A0	[4640]
00B7A2	[0]
00B7A4	[B7DE]
00B7AE	[B]
00B7B0	[C0D2]
00B7B2	[B]
00B7B4	[C152]
00B7B6	[B]
00B7B8	[C1D2]
00B7BA	[B]
00B7BC	[C152]
00B7BE	[B]
00B7C0	[C0D2]
00B7C2	[B]
00B7C4	[C052]
00B7C6	[B]
00B7C8	[C0F2]
00B7CA	[B]
00B7CC	[C172]
00B7CE	[B]
00B7D0	[C1F2]
00B7D2	[B]
00B7D4	[C172]
00B7D6	[B]
00B7D8	[C0F2]
00B7DA	[B]
00B7DC	[C072]
00B7DE	[B]
00B7E0	[C112]
00B7E2	[B]
00B7E4	[C192]
00B7E6	[B]
00B7E8	[C212]
00B7EA	[B]
00B7EC	[C192]
00B7EE	[B]
00B7F0	[C112]
00B7F2	[B]
00B7F4	[C092]
00B81E	[6]
00B820	[42]
00B8DE	[91]
00B8E0	[4800]
00B8E2	[91]
00B8E4	[4340]
00B8E6	[91]
00B8E8	[4840]
00B8EA	[91]
00B8EC	[4380]
00B8EE	[91]
