copyright	zengfr	site:http://github.com/zengfr/romhack
		[]	
001AD6	001AD6	[FF85EF]	
001AD8	001AD8	[FF85EE]	
001ADA	001ADA	[FF85ED]	
001ADC	001ADC	[FF85EC]	
002B80	002B80	[FF85EB]	
002B88	002B88	[FF85EA]	
002F7C	002F7C	[FF901F, FF9A9F]	
002F84	002F84	[FF9004, FF9A84]	
002F88	002F88	[FF9000, FF9A80]	
002F8C	002F8C	[FF9002, FF9A82]	
002F90	002F90	[FF9044, FF9046, FF9AC4, FF9AC6]	
002F98	002F98	[FF9044, FF9046, FF9AC4, FF9AC6]	
002FAE	002FAE	[FF9A9F]	
002FB2	002FB2	[FF9AC4, FF9AC6]	
002FBA	002FBA	[FF9AC4, FF9AC6]	
00307C	00307C	[FF85BC, FF94BC, FF9ABC]	
003084	003084	[FF8572, FF8574, FF9472, FF9474, FF9A72, FF9A74]	
003090	003090	[FF85B8, FF94B8, FF9AB8]	
003098	003098	[FF856E, FF8570, FF946E, FF9470, FF9A6E, FF9A70]	
0030A6	0030A6	[FF8FEE, FF8FF0, FF946E, FF9470, FF9A6E, FF9A70, FFBE2E, FFBE30]	
0030B2	0030B2	[FF903C, FF94BC, FF9ABC, FFBE7C]	
0030BA	0030BA	[FF8FF2, FF8FF4, FF9472, FF9474, FF9A72, FF9A74, FFBE32, FFBE34]	
003138	003138	[FF85B8, FF9038, FF9AB8, FFBE78]	
003140	003140	[FF856E, FF8570, FF8FEE, FF8FF0, FF9A6E, FF9A70, FFBE2E, FFBE30]	
003162	003162	[FF856E, FF8570, FF8FEE, FF8FF0, FF9A6E, FF9A70]	
00316E	00316E	[FF8572, FF8574, FF8FF2, FF8FF4, FF9A72, FF9A74]	
003234	003234	[FF8569, FF8FE9, FF9469, FF9A69, FFBE29]	
00325E	00325E	[FF8569, FF8FE9, FF9469, FF9A69, FFBE29]	
0032AA	0032AA	[FF85D8, FF85DA, FF9058, FF905A, FF94D8, FF94DA, FF9AD8, FF9ADA, FFBE98, FFBE9A]	
0032BC	0032BC	[FF85D8, FF85DA, FF9058, FF905A, FF94D8, FF94DA, FF9AD8, FF9ADA, FFBE98, FFBE9A]	
0032C8	0032C8	[FF85DE, FF905E, FF94DE, FF9ADE, FFBE9E]	
0032DE	0032DE	[FF85E0, FF85E2, FF9060, FF9062, FF94E0, FF94E2, FF9AE0, FF9AE2, FFBEA0, FFBEA2]	
0032EA	0032EA	[FF85E0, FF85E2, FF9060, FF9062, FF94E0, FF94E2, FF9AE0, FF9AE2, FFBEA0, FFBEA2]	
0032F6	0032F6	[FF85E6, FF9066, FF94E6, FF9AE6, FFBEA6]	
00330E	00330E	[FF85DC, FF905C, FF94DC, FF9ADC, FFBE9C]	
003320	003320	[FF85E4, FF9064, FF94E4, FF9AE4, FFBEA4]	
003334	003334	[FF85DC, FF905C, FF94DC, FF9ADC]	
003346	003346	[FF85E4, FF9064, FF94E4, FF9AE4]	
00336A	00336A	[FF8FFE, FF9A7E]	
003848	003848	[FF8FFA]	
003884	003884	[FF947A]	
003938	003938	[FFBE3A]	
0039F6	0039F6	[FF9058, FF905A, FF905C, FF905E, FF9060, FF9062, FF9064, FF9066, FF94D8, FF94DA, FF94DC, FF94DE, FF94E0, FF94E2, FF94E4, FF94E6, FFBE98, FFBE9A, FFBE9C, FFBE9E, FFBEA0, FFBEA2, FFBEA4, FFBEA6]	
0039FA	0039FA	[FF9048, FF904A, FF904C, FF904E, FF9050, FF9052, FF9054, FF9056, FF94C8, FF94CA, FF94CC, FF94CE, FF94D0, FF94D2, FF94D4, FF94D6, FFBE88, FFBE8A, FFBE8C, FFBE8E, FFBE90, FFBE92, FFBE94, FFBE96]	
0039FE	0039FE	[FF9038, FF903A, FF903C, FF903E, FF9040, FF9042, FF9044, FF9046, FF94B8, FF94BA, FF94BC, FF94BE, FF94C0, FF94C2, FF94C4, FF94C6, FFBE78, FFBE7A, FFBE7C, FFBE7E, FFBE80, FFBE82, FFBE84, FFBE86]	
003A02	003A02	[FF9028, FF902A, FF902C, FF902E, FF9030, FF9032, FF9034, FF9036, FF94A8, FF94AA, FF94AC, FF94AE, FF94B0, FF94B2, FF94B4, FF94B6, FFBE68, FFBE6A, FFBE6C, FFBE6E, FFBE70, FFBE72, FFBE74, FFBE76]	
003A06	003A06	[FF9018, FF901A, FF901C, FF901E, FF9020, FF9022, FF9024, FF9026, FF9498, FF949A, FF949C, FF949E, FF94A0, FF94A2, FF94A4, FF94A6, FFBE58, FFBE5A, FFBE5C, FFBE5E, FFBE60, FFBE62, FFBE64, FFBE66]	
003A0A	003A0A	[FF9008, FF900A, FF900C, FF900E, FF9010, FF9012, FF9014, FF9016, FF9488, FF948A, FF948C, FF948E, FF9490, FF9492, FF9494, FF9496, FFBE48, FFBE4A, FFBE4C, FFBE4E, FFBE50, FFBE52, FFBE54, FFBE56]	
003A0E	003A0E	[FF8FF8, FF8FFA, FF8FFC, FF8FFE, FF9000, FF9002, FF9004, FF9006, FF9478, FF947A, FF947C, FF947E, FF9480, FF9482, FF9484, FF9486, FFBE38, FFBE3A, FFBE3C, FFBE3E, FFBE40, FFBE42, FFBE44, FFBE46]	
003A12	003A12	[FF8FE8, FF8FEA, FF8FEC, FF8FEE, FF8FF0, FF8FF2, FF8FF4, FF8FF6, FF9468, FF946A, FF946C, FF946E, FF9470, FF9472, FF9474, FF9476, FFBE28, FFBE2A, FFBE2C, FFBE2E, FFBE30, FFBE32, FFBE34, FFBE36]	
003A16	003A16	[FF9036, FF94B6, FFBE76]	
003AE6	003AE6	[FF8588, FF858A, FF9008, FF900A, FF9488, FF948A, FF9A88, FF9A8A, FFBE48, FFBE4A]	
003AEC	003AEC	[FF8590, FF9010, FF9490, FF9A90, FFBE50]	
003AF4	003AF4	[FF858C, FF858E, FF900C, FF900E, FF948C, FF948E, FF9A8C, FF9A8E, FFBE4C, FFBE4E]	
003AFA	003AFA	[FF8592, FF8594, FF9012, FF9014, FF9492, FF9494, FF9A92, FF9A94, FFBE52, FFBE54]	
003B00	003B00	[FF8598, FF9018, FF9498, FF9A98, FFBE58]	
003B06	003B06	[FF8590, FF9010, FF9490, FF9A90, FFBE50]	
003B0C	003B0C	[FF8588, FF858A, FF9008, FF900A, FF9488, FF948A, FF9A88, FF9A8A, FFBE48, FFBE4A]	
003B16	003B16	[FF8590, FF9010, FF9490, FF9A90, FFBE50]	
003B20	003B20	[FF8588, FF858A, FF9008, FF900A, FF9488, FF948A, FF9A88, FF9A8A, FFBE48, FFBE4A]	
003B26	003B26	[FF8590, FF9010, FF9490, FF9A90, FFBE50]	
003B2E	003B2E	[FF858C, FF858E, FF900C, FF900E, FF948C, FF948E, FF9A8C, FF9A8E, FFBE4C, FFBE4E]	
003B34	003B34	[FF8592, FF8594, FF9012, FF9014, FF9492, FF9494, FF9A92, FF9A94, FFBE52, FFBE54]	
003B3A	003B3A	[FF8598, FF9018, FF9498, FF9A98, FFBE58]	
003B40	003B40	[FF9010, FF9A90]	
003B46	003B46	[FF9008, FF900A, FF9A88, FF9A8A]	
003B50	003B50	[FF9010, FF9A90]	
003B5A	003B5A	[FF9008, FF900A, FF9A88, FF9A8A]	
003B60	003B60	[FF9010, FF9A90]	
003B68	003B68	[FF900C, FF900E, FF9A8C, FF9A8E]	
003B6E	003B6E	[FF9012, FF9014, FF9A92, FF9A94]	
003B74	003B74	[FF9018, FF9A98]	
003CCE	003CCE	[FF9AA6]	
003CD4	003CD4	[FF9A7F]	
003CDA	003CDA	[FF9AD1]	
003CDE	003CDE	[FF9AA4]	
003CE4	003CE4	[FF9AA7]	
003CE8	003CE8	[FF9A80]	
003D9C	003D9C	[FF9026]	
003DA2	003DA2	[FF8FFF]	
003DA8	003DA8	[FF9051]	
003DAC	003DAC	[FF9024]	
003DB2	003DB2	[FF9027]	
003DBC	003DBC	[FF9000]	
003DC2	003DC2	[FF9000]	
003F6C	003F6C	[FF9A80]	
003F78	003F78	[FF9000]	
004114	004114	[FF85AA, FF902A, FF9AAA]	
004118	004118	[FF857F, FF8FFF, FF9A7F]	
00411C	00411C	[FF856B, FF8FEB, FF9A6B]	
004120	004120	[FF856C, FF8FEC, FF9A6C]	
004198	004198	[FF8FEE, FF8FF0, FF9A6E, FF9A70]	
00419E	00419E	[FF8FF2, FF8FF4, FF9A72, FF9A74]	
0041A4	0041A4	[FF8FF6, FF8FF8, FF9A76, FF9A78]	
0041AA	0041AA	[FF9016, FF9A96]	
0041B0	0041B0	[FF9016, FF9A96]	
0041D0	0041D0	[FF8FEE, FF9A6E]	
0041D8	0041D8	[FF8FF2, FF9A72]	
0041E2	0041E2	[FF9016, FF9A96]	
0041E6	0041E6	[FF902B, FF9AAB]	
00422C	00422C	[FF902E, FF9030, FF9AAE, FF9AB0]	
004232	004232	[FF9051, FF9AD1]	
0042B4	0042B4	[FF94AA]	
0042B8	0042B8	[FF947F]	
0042BC	0042BC	[FF946B]	
0042C0	0042C0	[FF946C]	
004334	004334	[FF94AE, FF94B0]	
004422	004422	[FF946E, FF9470]	
004428	004428	[FF9472, FF9474]	
00442E	00442E	[FF94C2]	
004434	004434	[FF9476, FF9478]	
00443A	00443A	[FF9496]	
004462	004462	[FF946E]	
00446E	00446E	[FF946E]	
004476	004476	[FF9472]	
004492	004492	[FF9472]	
004A3C	004A3C	[FF85E8]	
004A60	004A60	[FF85F8]	
004A84	004A84	[FF85FB]	
004A86	004A86	[FF85FA]	
005EAE	005EAE	[FF8FE8]	
005ECA	005ECA	[FF8FEE]	
005EE6	005EE6	[FF8FF2]	
005EEC	005EEC	[FF8FFA, FF8FFC]	
005EF2	005EF2	[FF901E]	
005EF8	005EF8	[FF904A]	
005EFE	005EFE	[FF9048]	
005F06	005F06	[FF9048]	
0061C0	0061C0	[FF8FE8, FF9A68, FFBE28]	
0061DC	0061DC	[FF8FEE, FF9A6E, FFBE2E]	
0061F8	0061F8	[FF8FF2, FF9A72, FFBE32]	
006216	006216	[FF8FFB, FF9A7B, FFBE3B]	
00621C	00621C	[FF8FFC, FF9A7C, FFBE3C]	
006222	006222	[FF901E, FF9A9E, FFBE5E]	
006228	006228	[FF904A, FF9ACA, FFBE8A]	
