copyright	zengfr	site:http://github.com/zengfr/romhack
		[]	
FF8568	1p+ 0	[009F8C, 00A2C6, 00A5CC]	
FF8569	1p+ 1	[003234, 00325E, 008DC0, 008DC8, 00A2D0, 00A5D0]	
FF856A	1p+ 2	[009CF0, 00A118, 00A2C6, 00A3FA, 00A560, 00A5DC, 00AF5C, 00B20A, 00DBB4, 00DCB6]	
FF856B	1p+ 3	[00411C, 00A58E, 00A72A, 00A85E, 00A962, 00A9E0, 00AAC8, 00AB10, 00AB56, 00AC90, 00ADD0, 00B328, 00B390, 00B69A, 00B83A, 00B87C, 00B95E, 00B9A6, 00BAD6, 00BC50, 00BC82, 00BC94, 00BDFC, 00BE42, 00BEC0, 00CD2C, 00CD36, 00CF52, 00D8E2, 00D900, 00D96C, 00DC48, 00DC7E, 00DCE4, 00DD58, 00DD82, 00DE36, 00DE78, 00DEBE, 00DF64, 00DF7C, 00DFD2, 00E02C, 00E06A, 00E8E0, 00E8EC, 00E8FC, 00EA6A, 00EB06]	
FF856C	1p+ 4	[004120, 009CF0, 00A118, 00A2C6, 00A3FA, 00A560, 00A5DC, 00A72E, 00A862, 00A948, 00A966, 00A99A, 00A9E4, 00AA78, 00AACC, 00AAF8, 00AB14, 00AB46, 00AB5A, 00ABB0, 00ABD6, 00AC94, 00AD08, 00AD1E, 00AD34, 00AD4A, 00AD98, 00ADD4, 00AF5C, 00B20A, 00B254, 00B296, 00B302, 00B32C, 00B36C, 00B394, 00B69E, 00B826, 00B83E, 00B880, 00B926, 00B93E, 00B962, 00B988, 00B9AA, 00BADA, 00BC54, 00BC86, 00BC98, 00BE00, 00BE48, 00BEC4, 00CD3A, 00CD84, 00CE80, 00CF0C, 00CF3A, 00CF56, 00D8E6, 00D904, 00D970, 00DBB4, 00DCB6, 00E8E4, 00E8F0, 00E900, 00E97C, 00E9F8, 00EA2E, 00EA6E, 00EB0A, 00EBAA, 00ED4A, 00EDE8, 00EE24, 00EEE4, 00EF1E, 00EFAA, 00EFE6, 00F006]	
FF856D	1p+ 5	[00AD0C, 00AD22, 00AD38, 00AD4E, 00AD9C, 00AE28, 00AEBE, 00AF20, 00B0D0, 00B162, 00B1C4, 00B3F6, 00B42A, 00B45E, 00B48E, 00B4BE, 00B506, 00B53A, 00B56E, 00B59E, 00BE4C, 00E9FC, 00EA32, 00EAEA, 00EB26, 00EB3A, 00EB6C, 00EBAE]	
FF856E	1p+ 6	[003098, 003140, 003162, 007C38, 007C62, 007C72, 008E0C, 009D3E, 009D74, 00A2C6, 00C0A6, 00DD26, 00DEA2, 00E654, 00E760, 00EE56, 00F5A6, 027F92]	
FF8570	1p+ 8	[003098, 003140, 003162, 009D3E, 00A2C6, 00C0A6, 00E654, 00F5A6]	
FF8572	1p+ A	[003084, 00316E, 007C52, 007C6A, 007C7A, 008E1E, 009D44, 009D7A, 00A2C6, 00A54C, 00A9DA, 00AC8A, 00AE2E, 00AEC4, 00AF1A, 00B0D6, 00B168, 00B1BE, 00B2FC, 00C0B6, 00DEAC, 00DFCC, 00E65A, 00E766, 00EB66, 00EE60, 00F5CA, 027F9E]	
FF8574	1p+ C	[003084, 00316E, 009D44, 00A2C6, 00A9DA, 00AC8A, 00AEC4, 00AF1A, 00B168, 00B1BE, 00B2FC, 00C0B6, 00DFCC, 00E65A, 00EB66, 00F5CA]	
FF8576	1p+ E	[007C4E, 007C66, 007C76, 007C8C, 008E1A, 00A2C6, 00A546, 00A582, 00A94E, 00AB8A, 00B25E, 00B2A0, 00C008, 00DE5A, 00DEDA, 00E660, 00E76C, 00EB40, 00F5D0, 027FA2]	
FF8578	1p+10	[00A2C6, 00A546, 00A582, 00A94E, 00AB8A, 00B25E, 00B2A0, 00C008, 00DEDA, 00E660, 00E76C, 00EB40, 00F5D0]	
FF857A	1p+12	[00A2C6]	
FF857B	1p+13	[009F92]	
FF857C	1p+14	[00A104, 00A2C6]	
FF857E	1p+16	[00759C, 008CA2, 00A2C6]	
FF857F	1p+17	[004118, 007110, 00714A, 007360, 0073B2, 007454, 00749C, 0075BE, 0076E6, 00AC48, 00ADAA, 00B222, 00B3B0, 00B970, 00CE62, 00CEB0]	
FF8580	1p+18	[0079D8, 009C20, 00A19A, 00A2C6, 00B340, 00B346]	
FF8582	1p+1A	[009C24, 009CF6, 00A1A0, 00A2C6, 00A6A2, 00A878, 00B34C]	
FF8584	1p+1C	[00A2AC, 00A2C6]	
FF8586	1p+1E	[00A2C6, 00A2D4, 00A588, 00A59C, 00A9A0, 00A9AE, 00AE38, 00AE6E, 00AE90, 00B0E0, 00B112, 00B134, 00DC62, 00DC70, 00DC84, 00DC94, 00DCF4, 00DD1E, 00DD52, 00DD64, 00DE48, 00DE6E, 00DF82, 00DF8E, 00DFD8, 00DFF2, 00E91C, 00E974, 00EF18, 00EF4E]	
FF8587	1p+1F	[00A2D8]	
FF8588	1p+20	[003AE6, 003B0C, 003B20, 00A2C6, 00A2DC]	
FF858A	1p+22	[003AE6, 003B0C, 003B20, 00A2C6, 00A2DC]	
FF858C	1p+24	[003AF4, 003B2E, 00A2C6, 00A2E0]	
FF858E	1p+26	[003AF4, 003B2E, 00A2C6]	
FF8590	1p+28	[003AEC, 003B06, 003B16, 003B26, 00A2C6, 00A2E4, 00AAAC]	
FF8591	1p+29	[00A2E8]	
FF8592	1p+2A	[003AFA, 003B34, 00A2C6, 00A2EC]	
FF8593	1p+2B	[00A2F0, 00B944]	
