copyright	zengfr	site:http://github.com/zengfr/romhack
FF8568	1p+ 0	[0, 1]	
FF8569	1p+ 1	[0, 1]	
FF856A	1p+ 2	[0, 200, 202, 208, 210, 400, 600, 800, A00]	
FF856B	1p+ 3	[0, 10, 12, 14, 18, 1A, 1E, 2, 20, 4, 6, 8, A, C, E]	
FF856C	1p+ 4	[0, 14, 2, 4, 6, 8]	
FF856D	1p+ 5	[0, 2, 4, 6]	
FF856E	1p+ 6	[0, 1A0, 1A2, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AC, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, BBA, BBB, BBC, BBD, BBE, BBF, BC0, BC1, BC2, BC3, BC4, BC5, BC6, BC7, BC8, BC9, BCA, BCB, BCD, FFF0]	
FF8570	1p+ 8	[0, 1100, 1900, 1A00, 2300, 2C00, 3400, 3D00, 4600, 4F00, 5700, 6000, 6900, 6A00, 7200, 7B00, 800, 8300, 8D00, 9500, 9E00, A00, A100, A900, AA00, B200, BC00, C400, CD00, D500, DF00, E700, EF00, F000, F800, FF00]	
FF8572	1p+ A	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 9E, A6, AD, FFFE]	
FF8574	1p+ C	[0, 1100, 1900, 1A00, 2300, 2C00, 3400, 3D00, 4600, 4F00, 5700, 6000, 6900, 6A00, 7200, 7B00, 800, 8300, 8D00, 9400, 9500, 9E00, A00, A100, A900, AA00, B200, BC00, C400, CD00, D500, DF00, E700, F000, F800, FF00]	
FF8576	1p+ E	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 20, 21, 22, 23, 44, 45, 46, 47, 48, 49, 4A, 4B, 4C, 4D, 4E, 4F, 50, 56, FFFA]	
FF8578	1p+10	[0, 1C00, 2000, 2C00, 2E00, 3000, 4400, 4800, 6000, 6200, 6400, 6C00, 7000, 7400, 8800, 8B00, 9C00, A500, B200, B400, B800, BC00, C00, C000, C400, C800, D900, DC00, E100, E300, EE00, F000, F400, F800, FB00, FC00]	
FF857A	1p+12	[0]	
FF857B	1p+13	[0]	
FF857C	1p+14	[0, 1]	
FF857E	1p+16	[0, 1, 2, 3, 4, 5, 7]	
FF857F	1p+17	[0, 1, 2, 3, 4, 5, 6]	
FF8580	1p+18	[0, 11, 12, 15, 16, 18, 19, 1A, 1D, 1E, 2, 20, 4, 44, 45, 46, 48, 49, 4A, 4B, 4E, 50, 51, 52, 53, 56, 57, 58, 5A, 6, 60, 61, 88, 9, 90, FFFE]	
FF8582	1p+1A	[0, 11, 12, 15, 16, 18, 19, 1A, 1D, 1E, 2, 20, 4, 44, 45, 46, 48, 49, 4A, 4B, 4E, 50, 51, 52, 53, 56, 57, 58, 5A, 6, 60, 61, 88, 9, 90, FFFE]	
FF8584	1p+1C	[0, 90]	
FF8586	1p+1E	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, B0, B1, B2, B3, F]	
FF8587	1p+1F	[0]	
FF8588	1p+20	[0, 1]	
FF858A	1p+22	[0, 11B6, 11BA, 1236, 123E, 1242, 12BA, 12BE, 12C2, 12C6, 12CA, 12CE, 12D6, 12DA, 1A06, 1A0E, 1A12, 24BA, 24BE, 24C2, 24C6, 258, 480, 484, 488, 48C, 90A, FAB4, FBC2, FCE2, FCE6, FCEA, FCEE, FCF2, FCF6, FFAA]	
FF858C	1p+24	[0, 1]	
FF858E	1p+26	[0, 1336, 13EA, 1456, 1582, 173C, 17E0, 1B36, 1B92, 1E, 1E76, 1F1C, 1FA0, 2028, 21E4, 22A2, 2392, 24CE, 358, 50E, 5A6, 63E, 7FA, 882, 912, 96, 992, F7F8, F870, F918, F990, FA14, FABC, FBCA, FCFE, FFEA]	
FF8590	1p+28	[0, 1, 10, 10A, 10B, 11, 12, 13, 14, 14FF, 15, 16, 17, 18, 19, 1A, 1A00, 1B, 1C, 1D, 1E, 1F, 2, 3, 3FF, 4, 400, 401, 402, 403, 5, 6, A00, A01, E00, F00]	
FF8591	1p+29	[0]	
FF8592	1p+2A	[0, 1015, 1500, 1700, 1A00, 1B12, 1B14, 2500, 251A, 251B, 251C, 317, 31A, 400, 70B, 70C, 907, 908, 909, 90A, 90D, 916, 917, 918, A00, A01, A02, A03, A08, A09, A15, A18, A1F, C10, E00, F00]	
FF8593	1p+2B	[0, 99]	
FF8594	1p+2C	[0, 10, 11, 1100, 12, 1210, 13, 1300, 14, 15, 1500, 16, 17, 1700, 1703, 18, 1A00, 1C00, 1E00, 2000, 2111, 2112, 2700, 289, 4, 401, 5, 6, 602, 7, 8, 9, A00, C00, E0E, F00]	
FF8595	1p+2D	[0]	
FF8596	1p+2E	[0, 1]	
FF8597	1p+2F	[0]	
FF8598	1p+30	[0, 1, 10, 12, 14, 17, 18, 1A, 1B, 2, 22, 23, 28, A, B, C, D, E, F, FFEE, FFF0, FFF1, FFF2, FFF3, FFF4, FFF5, FFF6, FFF7, FFF8, FFF9, FFFA, FFFB, FFFC, FFFD, FFFE]	
FF859A	1p+32	[0, D]	
FF859C	1p+34	[0, 2334, 2434]	
FF859E	1p+36	[0, 1, 2, 3, 4, 5, 6, 7, 8]	
FF859F	1p+37	[0]	
FF85A0	1p+38	[0, 1]	
FF85A2	1p+3A	[0, 28CC, B32]	
FF85A4	1p+3C	[0, 89E8, 8B68, 8C28, 8CE8, 8DA8, 8E68, 8F28, 8FE8, 9A68]	
FF85A6	1p+3E	[0, 1]	
FF85A7	1p+3F	[0, 1, 2, 3, 81, 83]	
FF85A8	1p+40	[0, 1]	
FF85A9	1p+41	[0, FF]	
FF85AA	1p+42	[0, 2]	
FF85AB	1p+43	[0, 1, 2, 3, 4, 84]	
FF85AC	1p+44	[0, 8928, 8B68, 8CE8, 8DA8, 8E68, 8F28, 8FE8, 9A68]	
FF85AE	1p+46	[0]	
FF85B0	1p+48	[0]	
FF85B2	1p+4A	[0, 1]	
FF85B4	1p+4C	[0, 92E8, 93A8, 9468]	
FF85B6	1p+4E	[0, CDE8]	
FF85B8	1p+50	[0, 2C1, 2C4, 2C6, 2C9, 2CB, 2CE, 2D0, 2D3, 2D5, 2D8, 2DA, 2DD, 2DF, A0, B0, FC47, FC4C, FC51, FC5B, FC5E, FC60, FC63, FC65, FC68, FD69, FD6C, FD6E, FD71, FD7B, FD7D, FD80, FD82, FD85, FD87, FFF0]	
FF85BA	1p+52	[0, 10, 14, 5, FFEC, FFF0, FFFB]	
FF85BC	1p+54	[0, 10, 10C, 118, 18, 1A8, 1AF, 1B0, 238, 358, 359, 6, A0, A8, B0, B1, F808, F90E, F910, F928, F9A0, F9A8, F9B8, FA0D, FAB6, FAB7, FB38, FBC8, FC58, FC5F, FC60, FC68, FCE8, FCF8, FD88, FFF8]	
FF85BE	1p+56	[0, 48, 55]	
FF85C0	1p+58	[0, 1, 3, FF]	
FF85C1	1p+59	[0, 1, 14, 17, 18, 19, 1D, 2, 3, 4, 5, 7, 8, A]	
FF85C2	1p+5A	[0, 20]	
FF85C4	1p+5C	[0, 1]	
FF85C6	1p+5E	[0, 101A, 1022, 2B3C, 2B49, 2B4B, 2BA9, 2BAB, FB6, FBA, FC2]	
FF85C8	1p+60	[0]	
FF85C9	1p+61	[0, 10, 11, 12, 13, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, F]	
FF85CA	1p+62	[0]	
FF85CB	1p+63	[0]	
FF85CC	1p+64	[0]	
FF85CE	1p+66	[0, BB28, BCA8, BD68, BE28]	
FF85D0	1p+68	[0, 1]	
FF85D1	1p+69	[0]	
FF85D2	1p+6A	[0]	
FF85D4	1p+6C	[0]	
FF85D6	1p+6E	[0]	
FF85D8	1p+70	[0, 1]	
FF85DA	1p+72	[0, 2A0C, 2A1C, 2A2C, 2A3C, 2A4C, 2A5C, 2A6C, 2A7C, 2A8C, 2A9C, 2AAC, 2ABC, 2ACC, 2AFC, 2B0C, 2B1C, C8A, C9A, CAA, CBA, CEA, D0A, D4A, D5A, D6A, D7A, D8A, D9A, DAA, DBA, DCA, DDA, DEA, E2A]	
FF85DC	1p+74	[0, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AC, 1AE, 1AF, 1B0, 1B2, BBA, BBB, BBC, BBD, BBE, BBF, BC0, BC1, BC2, BC3, BC4, BC5, BC6, BC7, BC8, BC9, BCA, BCB, BCD, FFF]	
FF85DE	1p+76	[0, 10, 11, 12, 13, 14, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, F]	
FF85E0	1p+78	[0, 1]	
FF85E2	1p+7A	[0, 28D4, 28DC, 28E4, 2904, 290C, 2914, 291C, 2944, 294C, 295C, 2964, 296C, 2984, 298C, 2994, 299C, 29A4, 29AC, 29B4, 29C4, B3A, B42, B4A, B6A, B72, B82, B8A, BA2, BBA, BC2, BD2, BDA, C52, C6A, C72]	
FF85E4	1p+7C	[0, 1A0, 1A2, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AC, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, BBA, BBB, BBC, BBD, BBE, BBF, BC0, BC1, BC2, BC3, BC4, BC5, BC6, BC7, BC8, BC9, BCA, BCB, BCD, FFB]	
FF85E6	1p+7E	[0, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 9A, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, BE]	
FF85E8	1p+80	[0, 1, 2]	
FF85E9	1p+81	[0, 1, 80, 81]	
