copyright	zengfr	site:http://github.com/zengfr/romhack
000DE2	000DE2	[FFAF2C, FFAFEC, FFB16C, FFB22C, FFB2EC, FFB3AC]	
000DF4	000DF4	[FF8E6C, FF8F6C, FF98AC, FF9BAC, FFA1AC, FFA26C, FFA7AC, FFADAC, FFAE6C, FFAF2C, FFAFEC, FFB0AC, FFB16C, FFB22C, FFB2EC, FFB3AC, FFDF2C, FFDFEC, FFE3AC, FFE52C, FFE76C, FFE82C, FFE8EC, FFE9AC, FFEA6C, FFEB2C, FFECAC, FFED6C, FFEEEC, FFEFAC]	
000DFC	000DFC	[FF8E94, FF8E96, FF8F94, FF8F96, FF98D4, FF98D6, FF9BD4, FF9BD6, FFA1D4, FFA1D6, FFA294, FFA296, FFA7D4, FFA7D6, FFADD4, FFADD6, FFAE94, FFAE96, FFAF54, FFAF56, FFB014, FFB016, FFB0D4, FFB0D6, FFB194, FFB196, FFB254, FFB256, FFB314, FFB316, FFB3D4, FFB3D6, FFDF54, FFDF56, FFE014, FFE016, FFE3D4, FFE3D6, FFE554, FFE556, FFE794, FFE796, FFE854, FFE856, FFE914, FFE916, FFE9D4, FFE9D6, FFEA94, FFEA96, FFEB54, FFEB56, FFECD4, FFECD6, FFED94, FFED96, FFEF14, FFEF16, FFEFD4, FFEFD6]	
000E08	000E08	[FF8E88, FF8E8A, FF8F88, FF8F8A, FF98C8, FF98CA, FF9BC8, FF9BCA, FFA1C8, FFA1CA, FFA288, FFA28A, FFA7C8, FFA7CA, FFADC8, FFADCA, FFAE88, FFAE8A, FFAF48, FFAF4A, FFB008, FFB00A, FFB0C8, FFB0CA, FFB188, FFB18A, FFB248, FFB24A, FFB308, FFB30A, FFB3C8, FFB3CA, FFDF48, FFDF4A, FFE008, FFE00A, FFE3C8, FFE3CA, FFE548, FFE54A, FFE788, FFE78A, FFE848, FFE84A, FFE908, FFE90A, FFE9C8, FFE9CA, FFEA88, FFEA8A, FFEB48, FFEB4A, FFECC8, FFECCA, FFED88, FFED8A, FFEF08, FFEF0A, FFEFC8, FFEFCA]	
000E12	000E12	[FF8E90, FF8E92, FF8F90, FF8F92, FF98D0, FF98D2, FF9BD0, FF9BD2, FFA1D0, FFA1D2, FFA290, FFA292, FFA7D0, FFA7D2, FFADD0, FFADD2, FFAE90, FFAE92, FFAF50, FFAF52, FFB010, FFB012, FFB0D0, FFB0D2, FFB190, FFB192, FFB250, FFB252, FFB310, FFB312, FFB3D0, FFB3D2, FFDF50, FFDF52, FFE010, FFE012, FFE3D0, FFE3D2, FFE550, FFE552, FFE790, FFE792, FFE850, FFE852, FFE910, FFE912, FFE9D0, FFE9D2, FFEA90, FFEA92, FFEB50, FFEB52, FFECD0, FFECD2, FFED90, FFED92, FFEF10, FFEF12, FFEFD0, FFEFD2]	
000E2C	000E2C	[FF8E88, FF8F88, FF98C8, FF9BC8, FFA1C8, FFA288, FFA7C8, FFADC8, FFAE88, FFAF48, FFB008, FFB0C8, FFB188, FFB248, FFB308, FFB3C8]	
000E30	000E30	[FF8E90, FF8F90, FF98D0, FF9BD0, FFA1D0, FFA290, FFA7D0, FFADD0, FFAE90, FFAF50, FFB010, FFB0D0, FFB190, FFB250, FFB310, FFB3D0]	
000F88	000F88	[FF8E88, FF8F88, FF95C8, FF9688, FF9748, FF9808, FF98C8, FF9988, FF9A48, FF9B08, FF9BC8, FFA048, FFA108, FFA1C8, FFA288, FFA348, FFA408, FFA4C8, FFA588, FFA648, FFA708, FFA7C8, FFADC8, FFAE88, FFAF48, FFB008, FFB0C8, FFB188, FFB248, FFB308, FFB3C8, FFB9C8, FFBA88, FFBB48, FFBC08, FFBCC8, FFBD88, FFBE48, FFBF08, FFBFC8, FFC508, FFC5C8, FFC688, FFC748, FFC808, FFC8C8, FFC988, FFCA48, FFCB08, FFCBC8, FFD408, FFD4C8, FFD588, FFD648, FFD708, FFD7C8, FFD888, FFD948, FFDA08, FFDAC8, FFDB88, FFDC48, FFDD08, FFDDC8, FFDE88, FFDF48, FFE008, FFE0C8, FFE188, FFE248, FFE308, FFE3C8, FFE488, FFE548, FFE608, FFE6C8, FFE788, FFE848, FFE908, FFE9C8, FFEA88, FFEB48, FFEC08, FFECC8, FFED88, FFEE48, FFEF08, FFEFC8]	
000F8C	000F8C	[FF8E8C, FF8F8C, FF95CC, FF968C, FF974C, FF980C, FF98CC, FF998C, FF9A4C, FF9B0C, FF9BCC, FFA04C, FFA10C, FFA1CC, FFA28C, FFA34C, FFA40C, FFA4CC, FFA58C, FFA64C, FFA70C, FFA7CC, FFADCC, FFAE8C, FFAF4C, FFB00C, FFB0CC, FFB18C, FFB24C, FFB30C, FFB3CC, FFB9CC, FFBA8C, FFBB4C, FFBC0C, FFBCCC, FFBD8C, FFBE4C, FFBF0C, FFBFCC, FFC50C, FFC5CC, FFC68C, FFC74C, FFC80C, FFC8CC, FFC98C, FFCA4C, FFCB0C, FFCBCC, FFD40C, FFD4CC, FFD58C, FFD64C, FFD70C, FFD7CC, FFD88C, FFD94C, FFDA0C, FFDACC, FFDB8C, FFDC4C, FFDD0C, FFDDCC, FFDE8C, FFDF4C, FFE00C, FFE0CC, FFE18C, FFE24C, FFE30C, FFE3CC, FFE48C, FFE54C, FFE60C, FFE6CC, FFE78C, FFE84C, FFE90C, FFE9CC, FFEA8C, FFEB4C, FFEC0C, FFECCC, FFED8C, FFEE4C, FFEF0C, FFEFCC]	
000F90	000F90	[FF8E90, FF8F90, FF95D0, FF9690, FF9750, FF9810, FF98D0, FF9990, FF9A50, FF9B10, FF9BD0, FFA050, FFA110, FFA1D0, FFA290, FFA350, FFA410, FFA4D0, FFA590, FFA650, FFA710, FFA7D0, FFADD0, FFAE90, FFAF50, FFB010, FFB0D0, FFB190, FFB250, FFB310, FFB3D0, FFB9D0, FFBA90, FFBB50, FFBC10, FFBCD0, FFBD90, FFBE50, FFBF10, FFBFD0, FFC510, FFC5D0, FFC690, FFC750, FFC810, FFC8D0, FFC990, FFCA50, FFCB10, FFCBD0, FFD410, FFD4D0, FFD590, FFD650, FFD710, FFD7D0, FFD890, FFD950, FFDA10, FFDAD0, FFDB90, FFDC50, FFDD10, FFDDD0, FFDE90, FFDF50, FFE010, FFE0D0, FFE190, FFE250, FFE310, FFE3D0, FFE490, FFE550, FFE610, FFE6D0, FFE790, FFE850, FFE910, FFE9D0, FFEA90, FFEB50, FFEC10, FFECD0, FFED90, FFEE50, FFEF10, FFEFD0]	
