copyright	zengfr	site:http://github.com/zengfr/romhack
FF8E68	12p+  0	[00142A, 001B7A, 0037BC, 003990, 0043CE, 00AA64, 00B6F6, 00DF8C, 00DF94, 0107E0, 01086A, 012504, 014ADA, 017272, 0172EA, 017332, 0188EE, 01984A, 019C94, 01B10A, 01B138, 01B292, 01B32E, 01B368, 01B80A, 01B87E, 01CDD6, 01E4A4, 01E6AE, 01E6C0, 01E75C, 01E76E, 01EAB8, 01EC66, 01FE22, 01FE9A, 024C36, 026C0E, 027D26, 030A90, 0349EA, 035A92, 03A9EC, 03C7BA, 03D8F0, 040566, 0447EE, 0479CE, 048CC2, 055AE8, 057F44, 05ADC0, 05B11C, 05D29A, 05E454, 05E9BC, 05FA46, 065DBA, 0832D2, 08D2AC, 08FC9E, 08FF6E, 090270, 090466, 090474, 090BEA, 09110A, 0912E2, 09163C, 091A82, 091D44, 091D78, 091FF4, 0921A4, 0925BA, 09B904, 09C75E, 09C7D8, 0ABD5E, 0AE268, 0AE2A0, 0AF6FA, 0B0C3E]	
FF8E69	12p+  1	[000FBE, 000FC6, 0013EA, 0016C4, 014FD0, 0159A4, 01EC50, 01EC60, 01EC6A, 024D7E, 024DA2, 0254D6]	
FF8E6A	12p+  2	[001B1C, 001B84, 003540, 004458, 0055C8, 0055DC, 00A61E, 00B6AA, 017224, 017300, 01736E, 01738C, 0173AA, 017440, 017DE8, 017E18, 017FE4, 0186AA, 0186DA, 01872E, 01896C, 019288, 0193CE, 019958, 019CE6, 01A5D2, 01A5F0, 01AD1A, 01AE0C, 01D190, 01D318, 01D35C, 01D3EA, 01D71C, 01D750, 01D794, 01E3DE, 01E40A, 01E828, 01E882, 01FE12, 01FE5C, 01FE78, 01FE86, 01FE9A, 01FECE, 01FF00, 01FF14, 01FF1E, 01FF32, 0203E0, 020696, 02082E, 020846, 0208F0, 020BA4, 020CF6, 020E78, 020ECA, 021218, 021268, 02128A, 0212E4, 0212FE, 0225E6, 02262E, 022644, 022836, 022D5E, 022DDA, 022E6A, 022ECC, 022F3C, 022F7A, 022FBE, 0232FA, 0233F2, 02347A, 0234BE, 02352C, 023546, 023716, 02384E, 02399E, 023A14, 023A5A, 023BA6, 024C46, 024D64, 024D8A, 024DC8, 024DFE, 026802, 02C8EA, 02D11A, 039576, 03B40E, 0484DE, 054BFA, 055AE8, 0747C4, 079C5E, 07A01A, 07A044, 07A850, 07BCD8, 07CEB0, 085804, 085836, 085886, 099BEE, 099C36, 099C96, 09A0C4, 09A114, 09C76A, 0AE336, 0AE366, 0AE3F4]	
FF8E6B	12p+  3	[0173D2]	
FF8E6C	12p+  4	[000DF4, 01796A, 019254, 019414, 019874, 019A60, 019A66, 019C7A, 019C80, 01CE46, 01FE9A, 022262, 02235A, 02316E, 024C42]	
FF8E6E	12p+  6	[0028DA, 015224, 0152DE, 0153CE, 015424, 01566C, 0175A2, 0175BE, 0175E2, 017600, 01894C, 019620, 0198B4, 01A57A, 01B4AE, 01E85A, 01FE9A, 023632]	
FF8E6F	12p+  7	[00143A, 001992, 001A0C, 001D62, 0027DA, 0028FA, 00D546, 01525A, 015310, 0153BC, 015682, 01576E, 015A10, 015C86, 017874, 017898, 017948, 017BFC, 017FA4, 018136, 018352, 0183B0, 0186F8, 0192B8, 019420, 01951E, 01988C, 019926, 019B58, 01A648, 01AB34, 01AB8C, 01AC5E, 01AF74, 01B0EE, 01B14A, 01B30E, 01B37A, 01B4C8, 01B574, 01B6E0, 01B7E0, 01B896, 01C75E, 01CD88, 01CE42, 01D19A, 01D37C, 01D424, 01D446, 01D7CE, 01E42E, 01E438, 01EA68, 01EAEE, 01FFF0, 020024, 0202D0, 02041E, 0205F6, 020638, 020980, 0209B2, 020A38, 020B18, 020C1E, 020C6E, 020C7C, 020CC2, 020D60, 020E56, 020F22, 021038, 021090, 0210A8, 0210CC, 02112C, 021F4E, 021F5A, 022CF0, 022E92, 022FAE, 0230E8, 0232B0, 02341A, 0234EE, 023504, 02362A, 0236B2, 0237FA, 0238D2, 023AF4, 023C68, 024C3C, 025246, 0253C4, 025444, 0254C8, 0265CC, 026FAC, 02B404, 07A6BA, 07A882, 07BC92, 07CEE6, 07D7DC, 07DD44, 083362, 090AD2, 091412, 091718, 0927AA, 095A9A, 095AAE, 095B10, 095EC0, 095ED4, 0960C4, 096A96, 096AA8, 0999B8, 0999CA, 09C770]	
FF8E70	12p+  8	[008078, 00A728, 00AA6A, 00B65C, 00B688, 00DFA4, 00DFAE, 0107F8, 010802, 010882, 01088C, 01251C, 012526, 017292, 01742A, 01E838, 01EC70, 01FE48, 01FE9A, 020788, 0207A6, 0207DA, 024C00, 024E8E, 0252D6, 02547C, 025A9A, 04323C, 04637E, 04A478, 079C26, 079FB6, 08095A, 083306, 083342, 0833D0, 0904BA, 095D10, 0969F2, 09C764, 0AC852, 0AC8A8]	
FF8E72	12p+  A	[001AB0, 008078, 00AA70, 00B660, 00DFAE, 010802, 01088C, 012526, 017346, 01734E, 017430, 017638, 017D30, 017E14, 017F18, 0188DC, 019850, 01A592, 01AFF2, 01CDDC, 01E4AA, 01E6C6, 01E774, 01E81C, 01E83E, 01EC76, 01FE48, 01FE9A, 020666, 0208E2, 02095E, 020F5A, 024C10, 024C32, 024C8E, 024CA0, 024CB4, 024CC8, 024CDC, 024CEE, 024D04, 024D20, 024DB4, 024DC0, 024DEE, 0252D6, 025A9A, 02DFC6, 04637E, 04A478, 08095A, 083306, 083342, 0833D0, 0857FC, 08FF28, 090410, 0904BA, 09052E, 090AA0, 090B96, 0912AC, 091D5C, 091D6C, 091DA6, 091FFA, 0921AA, 0925C0, 095D10, 0969F2]	
FF8E74	12p+  C	[00807E, 00AA76, 00B664, 00DFB2, 010806, 010890, 010A56, 01252A, 017436, 0176C4, 017894, 01798E, 017A4E, 017D38, 017E22, 017F1E, 0182E6, 01864E, 018952, 018E3A, 018ECA, 019224, 01947C, 019540, 0195BE, 0198A4, 019C9A, 01A598, 01AD3E, 01ADDA, 01AE1A, 01B050, 01B0D8, 01B822, 01B84A, 01C764, 01C76E, 01CBFA, 01CD22, 01CDC6, 01CE5E, 01CEA2, 01D15C, 01D30A, 01D69A, 01D70E, 01E14A, 01E34C, 01E37E, 01E4B8, 01E6CC, 01E77A, 01E890, 01E9C2, 01EA52, 01EC7E, 01FE4C, 01FE9A, 020F60, 021132, 0211A2, 021F38, 021F8C, 02210C, 0221F8, 022276, 02236E, 022498, 022526, 0225C8, 022610, 022810, 022894, 022CC4, 022D1E, 022DF8, 022E2A, 022E42, 022E86, 022F0A, 022F76, 022F84, 022FF6, 0230C0, 0230E2, 02327C, 0232C4, 023414, 023476, 023492, 0234C4, 023528, 023542, 02360E, 023666, 0236E0, 0237BC, 02381C, 02388A, 0238B8, 0238FC, 023936, 023946, 02395A, 02397E, 023AB6, 023B08, 023B92, 023C54, 025146, 025AA4, 0833E0, 0857FC, 08FF74, 09046C, 090488, 090536, 090AA8, 090BF0, 0912E8, 091D5C, 091D70, 091DAA, 092000, 0921B0, 0925C6]	
