copyright	zengfr	site:http://github.com/zengfr/romhack
000C00	000C00	[211060, 211160, 211960, 211A60, 211B60, 211C60, 211D60, 211E60, 211F60, 212060]	
000C04	000C04	[211062, 211162, 211962, 211A62, 211B62, 211C62, 211D62, 211E62, 211F62, 212062]	
000C10	000C10	[2110EB, 2111EB, 2119EB, 211AEB, 211BEB, 211CEB, 211DEB, 211EEB, 211FEB, 2120EB]	
000C26	000C26	[2110EB, 2111EB, 2119EB, 211AEB, 211BEB, 211CEB, 211DEB, 211EEB, 211FEB, 2120EB]	
000C2C	000C2C	[211052, 211152, 211952, 211A52, 211B52, 211C52, 211D52, 211E52, 211F52, 212052]	
0021F8	0021F8	[211062, 211162]	
002278	002278	[2110EB, 2111EB, 2119EB, 211AEB, 211BEB, 211CEB, 211DEB, 211EEB, 211FEB, 2120EB]	
0022C8	0022C8	[211062, 211162, 211962, 211A62, 211B62, 211C62, 211D62, 211E62, 211F62, 212062]	
0022E8	0022E8	[2110E9, 2111E9, 2119E9, 211AE9, 211BE9, 211CE9, 211DE9, 211EE9, 211FE9, 2120E9]	
002320	002320	[2119EB]	
00234C	00234C	[211962]	
002352	002352	[2119E9]	
005A28	005A28	[211062]	
005A32	005A32	[211162]	
005A3C	005A3C	[211262]	
006152	006152	[211000, 211100, 211200]	
006162	006162	[211000, 211100]	
006166	006166	[211004, 211104]	
00616E	00616E	[21104C, 21114C]	
0077BA	0077BA	[211000, 211100, 211200, 211900, 211A00, 211B00, 211C00, 211D00, 211E00, 211F00, 212000]	
0077C8	0077C8	[2110EC, 2110EE, 2111EC, 2111EE, 2112EC, 2112EE, 2119EC, 2119EE, 211AEC, 211AEE, 211BEC, 211BEE, 211CEC, 211CEE, 211DEC, 211DEE, 211EEC, 211EEE, 211FEC, 211FEE, 2120EC, 2120EE]	
0077CC	0077CC	[21103F, 21113F, 21123F, 21193F, 211A3F, 211B3F, 211C3F, 211D3F, 211E3F, 211F3F, 21203F]	
