copyright	zengfr	site:http://github.com/zengfr/romhack
211000	123p+ 0	[006152, 006162, 0077BA, 00996E, 00B11C, 00B2BA, 00B344, 00B350, 00B4E8, 00FB1E, 01A52A, 01A594, 01A5E6, 01A842, 01A850, 01A876, 01A8A0, 01BD0E, 01BD60, 0200F4, 020210, 02035E, 0203E6, 02043C, 02045A, 0205E2, 0207BC, 020B1E, 020BC2, 020CCA, 021968, 022D82, 022DA2, 023120, 02366A, 0236BE, 025BD2, 02DC1E, 02DC5A, 02FDC0, 0322C8, 040A40, 066274]	
211001	123p+ 1	[00AD9E, 00B4A8, 01A636, 01A6D2, 01A6F0, 01A6FA, 01A738, 01DD06, 01F170, 01F852, 01F946, 01FAE6, 01FB06, 01FB0A, 020110, 025C60, 025EDC, 025F60, 026E10, 02B5E4, 02BA86, 0403B2, 0405E6, 040606, 04061A, 043E70, 043E90, 044500, 044542, 04468E, 0446D6, 05DE3A, 05DE6A, 05FC88, 05FCAA, 0622FA, 06232A]	
211002	123p+ 2	[00996E, 00FF04, 00FF78, 00FFC2, 01A8A4, 01DD72, 020432, 020680, 021978, 02197E, 021C98, 021DD2, 02368E, 02373A]	
211004	123p+ 4	[006166, 00996E, 00BB46, 00FF36, 00FF50, 00FFBC, 010008, 01A532, 01A560, 01A59A, 01A5B6, 01A5C0, 01A60C, 01A6A8, 01A6BA, 01A6CA, 01A814, 01A864, 01A90E, 01A956, 01A994, 01A9D2, 01ACF2, 01AD94, 01B274, 01B318, 01B426, 01B5FE, 01B716, 01BA32, 01BBA4, 01BC7E, 01BCB4, 01BD40, 01BD52, 01C052, 01C05C, 01C32A, 01C710, 01C7F8, 01CA70, 01CF08, 01D05A, 01D090, 01D152, 01D2E4, 01D5B2, 01D7C8, 01D8AA, 01DB96, 01DC16, 01DE70, 01E33E, 01E500, 01E55E, 01E614, 01E6C6, 01F152, 01F258, 01F844, 01F8FA, 02006E, 0200FC, 02013E, 020178, 020346, 020678, 020C1E, 0219E8, 021C8A, 021D34, 022B4C, 023080, 02316C, 0236D0, 025A06, 026B5E, 027598, 02B5F0, 02B886, 02B97A, 02D012, 02DC26, 02DC62, 02E15E, 02F978, 02FDD4, 031FDA, 0322D0, 03251E, 03FF44, 053296, 05C2EE, 05CAEA, 060B98, 064E74, 06629E]	
211006	123p+ 6	[00996E, 01A75A]	
211007	123p+ 7	[01AF14, 01B094, 01B0CE, 01B118, 01B33C, 01B34A, 01B386, 01B448, 01B450, 01B462, 01B486, 01B4BC, 01B5F0, 01B614, 01B73E, 01B796, 01B87C, 01BE12, 01BE6C, 01BE7C, 01BEA6, 01C022, 01C22E, 01C274, 01C290, 01C324, 01C402, 01C65A, 01C682, 01C6B8, 01C6BE, 01C704, 01C7E0, 01C91A, 01CAFA, 01D10C, 01D3A8, 01D406, 01D442, 01D52E, 01D5A4, 01E08C, 01E11C, 01F5F4, 01F62C, 02B59C]	
211008	123p+ 8	[00996E, 01AEE6, 01BD7E, 01BD86, 01ED56, 01F5F8, 01F610, 02B5A0]	
211009	123p+ 9	[01B5C4, 01B5F4, 01BDFC, 01C648, 01C678, 01F5B8]	
21100A	123p+ A	[00996E, 01B7B8, 01B8B2, 01BA2C, 01C906, 01CB36, 01F630, 02B5A4]	
21100B	123p+ B	[00AEF0, 00B146, 00B2D0, 00B2F8, 00FB24, 01D01E, 02196E, 0236C4, 02B822, 02B8CE, 02B9B4, 02B9CA]	
21100C	123p+ C	[00996E, 021990, 0236D8]	
21100E	123p+ E	[00996E, 021990, 0236D8]	
211010	123p+10	[00996E, 00B518, 00B622, 00FB28, 0219D0, 02375C]	
211012	123p+12	[00996E, 00B524, 00B622, 00FB28, 00FF60, 01A202, 01A24C, 01A28A, 01AA12, 01AFCE, 01B372, 01B42A, 01B478, 01B8DA, 01BB26, 01BB40, 01BB4A, 01BB78, 01BD5A, 01BD8C, 01BDD8, 01BF3E, 01C238, 01C298, 01C3E4, 01C3F6, 01C428, 01C652, 01C936, 01CAEA, 01CC8C, 01CDF2, 01CE28, 01CE6A, 01CE9C, 01CED4, 01CEFC, 01D0A6, 01D31A, 01D5DA, 01D626, 01D78C, 01D8D4, 01D98E, 01F15C, 0201D4, 0219E4, 02210C, 02279C, 022808, 0259BE, 025E1C, 025E26, 025F7C, 026120, 026B42, 026B4C, 02C5F8, 02C938, 02C9D0, 02CE84, 02CE8E, 02CFF6, 02D000, 02E1DA, 02FDDE, 02FDE8, 02FDF0, 030ADA, 030AEE, 030B48]	
