copyright	zengfr	site:http://github.com/zengfr/romhack
211000	123p+ 0	[0, 1, 81, 89, 9]	
211001	123p+ 1	[0, 1, 10, 11, 12, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F]	
211002	123p+ 2	[0, 2, 4]	
211004	123p+ 4	[0, 1, 10, 13, 14, 5, 6, 8, 9, A, D, E]	
211006	123p+ 6	[0]	
211007	123p+ 7	[0, 1, 2, 3, 4]	
211008	123p+ 8	[0, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 9A, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, FF00]	
211009	123p+ 9	[0, 1, 2, 3]	
21100A	123p+ A	[0, 2, 8]	
21100B	123p+ B	[0, 4, 5, 7]	
21100C	123p+ C	[0, 40]	
21100E	123p+ E	[0, 40]	
211010	123p+10	[0, 1C, 2]	
211012	123p+12	[0, 1, 12, 13, 14, 17, 1C, 1D, 1E, 22, 24, 4D, 5, 59, 5B, 5E, 60, 62, 67, 88, 8A, 8B, 92, B, BE, DD, E1, E2, E3, E4, E5, EB, EF, F1, F2]	
211013	123p+13	[1, 12, 13, 14, 17, 1C, 1D, 22, 24, 26, 4D, 5, 5B, 5E, 60, 62, 67, 69, 88, 8A, 8B, 92, B, C0, DD, E, E1, E2, E3, E4, E5, EB, EF, F1, F2]	
211014	123p+14	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 2, 24, 3, 4, 5, 6, 62, 7, 8, 9, A, B, C, D, DC, E, F]	
211015	123p+15	[1, 18, 19, 1A, 3, 4, 5, 6, 7, 8, 9, A, B, C, D]	
211016	123p+16	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 2, 20, 2000, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9, A, B, FF]	
211017	123p+17	[0, 1, 2, 3, 4, 40, 44, 5, 6, 7, 80]	
211018	123p+18	[0]	
211019	123p+19	[0]	
21101A	123p+1A	[0, 1, 2, 40, 7F, 80, BF, FD, FE, FF]	
