copyright	zengfr	site:http://github.com/zengfr/romhack
000EA0	000EA0	[FF81FE]	
000F80	000F80	[FF8290, FF82B0, FF82D0]	
000F8C	000F8C	[FF8290, FF82B0, FF82D0]	
0010C0	0010C0	[FFBE64, FFBF44, FFC024, FFCAA4, FFCB84, FFCC64, FFCD44, FFCE24, FFCF04, FFCFE4, FFD0C4]	
0010C4	0010C4	[FFBE66, FFBF46, FFC026, FFCAA6, FFCB86, FFCC66, FFCD46, FFCE26, FFCF06, FFCFE6, FFD0C6]	
0010C8	0010C8	[FFBE64, FFBF44, FFC024, FFCAA4, FFCB84, FFCC64, FFCD44, FFCE24, FFCF04, FFCFE4, FFD0C4]	
0010D0	0010D0	[FFBE28, FFBE2A, FFBF08, FFBF0A, FFBFE8, FFBFEA, FFCA68, FFCA6A, FFCB48, FFCB4A, FFCC28, FFCC2A, FFCD08, FFCD0A, FFCDE8, FFCDEA, FFCEC8, FFCECA, FFCFA8, FFCFAA, FFD088, FFD08A]	
0010D6	0010D6	[FFBE5C, FFBF3C, FFC01C, FFCB7C, FFCC5C, FFCD3C, FFCE1C, FFCEFC, FFCFDC, FFD0BC]	
0010DA	0010DA	[FFBE5E, FFBF3E, FFC01E, FFCB7E, FFCC5E, FFCD3E, FFCE1E, FFCEFE, FFCFDE, FFD0BE]	
0010DE	0010DE	[FFBE5C, FFBF3C, FFC01C, FFCB7C, FFCC5C, FFCD3C, FFCE1C, FFCEFC, FFCFDC, FFD0BC]	
0010E6	0010E6	[FFBE20, FFBE22, FFBF00, FFBF02, FFBFE0, FFBFE2, FFCB40, FFCB42, FFCC20, FFCC22, FFCD00, FFCD02, FFCDE0, FFCDE2, FFCEC0, FFCEC2, FFCFA0, FFCFA2, FFD080, FFD082]	
0010EC	0010EC	[FFCB80, FFCD40, FFCFE0]	
0010F0	0010F0	[FFCB82, FFCD42, FFCFE2]	
0010F4	0010F4	[FFCB80, FFCD40, FFCFE0]	
0010FC	0010FC	[FFCB44, FFCB46, FFCD04, FFCD06, FFCFA4, FFCFA6]	
001102	001102	[FFCB7C, FFCD3C, FFCFDC]	
00110A	00110A	[FFCB40, FFCB42, FFCD00, FFCD02, FFCFA0, FFCFA2]	
00110E	00110E	[FFCB80, FFCD40, FFCFE0]	
001116	001116	[FFCB44, FFCB46, FFCD04, FFCD06, FFCFA4, FFCFA6]	
00112E	00112E	[FFCA80, FFCB60, FFCC40, FFCD20, FFCE00, FFCEE0, FFCFC0, FFD0A0]	
001136	001136	[FFBE52, FFBE54, FFBF32, FFBF34, FFC012, FFC014, FFCA92, FFCA94, FFCB72, FFCB74, FFCC52, FFCC54, FFCD32, FFCD34, FFCE12, FFCE14, FFCEF2, FFCEF4, FFCFD2, FFCFD4, FFD0B2, FFD0B4]	
001144	001144	[FFBE20, FFBE22, FFBF00, FFBF02, FFBFE0, FFBFE2, FFCA60, FFCA62, FFCB40, FFCB42, FFCC20, FFCC22, FFCD00, FFCD02, FFCDE0, FFCDE2, FFCEC0, FFCEC2, FFCFA0, FFCFA2, FFD080, FFD082]	
00114E	00114E	[FFBE24, FFBE26, FFBF04, FFBF06, FFBFE4, FFBFE6, FFCA64, FFCA66, FFCB44, FFCB46, FFCC24, FFCC26, FFCD04, FFCD06, FFCDE4, FFCDE6, FFCEC4, FFCEC6, FFCFA4, FFCFA6, FFD084, FFD086]	
00117C	00117C	[FFCA60, FFCB40, FFCC20, FFCD00, FFCDE0, FFCEC0, FFCFA0, FFD080]	
001192	001192	[FFCA5D, FFCB3D, FFCC1D, FFCCFD, FFCDDD, FFCEBD, FFCF9D, FFD07D]	
00119A	00119A	[FFCA5D, FFCB3D, FFCC1D, FFCCFD, FFCDDD, FFCEBD, FFCF9D, FFD07D]	
0011E2	0011E2	[FFCA60, FFCB40, FFCC20, FFCD00, FFCDE0, FFCEC0, FFCFA0, FFD080]	
0013B8	0013B8	[FF82FC]	
0013C0	0013C0	[FF82EA]	
0013C6	0013C6	[FF82EA]	
0013CA	0013CA	[FF82FC]	
0013D0	0013D0	[FFCA5E, FFCB3E, FFCC1E, FFCCFE, FFCDDE, FFCEBE, FFCF9E, FFD07E]	
0013D6	0013D6	[FF82FA]	
0013DC	0013DC	[FF82E8]	
0013E2	0013E2	[FF82E8]	
0013E6	0013E6	[FF82FA]	
0013F2	0013F2	[FF82FE]	
0013F8	0013F8	[FF82EC]	
0013FE	0013FE	[FF82EC]	
001402	001402	[FF82FE]	
00140E	00140E	[FF8300]	
001414	001414	[FF82EE]	
00141A	00141A	[FF82EE]	
00141E	00141E	[FF8300]	
00142A	00142A	[FF8304]	
001430	001430	[FF82F2]	
001436	001436	[FF82F2]	
00143A	00143A	[FF8304]	
00144C	00144C	[FF8302]	
001452	001452	[FF82F0]	
001458	001458	[FF82F0]	
00145C	00145C	[FF8302]	
001468	001468	[FF8306]	
00146E	00146E	[FF82F4]	
001474	001474	[FF82F4]	
001478	001478	[FF8306]	
001484	001484	[FF830A]	
00148A	00148A	[FF82F8]	
001490	001490	[FF82F8]	
001494	001494	[FF830A]	
0014A0	0014A0	[FF8308]	
0014A6	0014A6	[FF82F6]	
0014AC	0014AC	[FF82F6]	
0014B0	0014B0	[FF8308]	
0014BC	0014BC	[FF82EA]	
0014C2	0014C2	[FF82EA]	
0014C6	0014C6	[FF82FC]	
0014D2	0014D2	[FF82E8]	
0014D8	0014D8	[FF82E8]	
0014DC	0014DC	[FF82FA]	
0014E8	0014E8	[FF82EC]	
0014EE	0014EE	[FF82EC]	
0014F2	0014F2	[FF82FE]	
0014FE	0014FE	[FF82EE]	
001504	001504	[FF82EE]	
001508	001508	[FF8300]	
001514	001514	[FF82F2]	
00151A	00151A	[FF82F2]	
00151E	00151E	[FF8304]	
00152A	00152A	[FF82F0]	
001530	001530	[FF82F0]	
001534	001534	[FF8302]	
001540	001540	[FF82F4]	
001546	001546	[FF82F4]	
00154A	00154A	[FF8306]	
001556	001556	[FF82F8]	
00155C	00155C	[FF82F8]	
001560	001560	[FF830A]	
00156C	00156C	[FF82F6]	
001572	001572	[FF82F6]	
001576	001576	[FF8308]	
001590	001590	[FFCA5C, FFCA5E, FFCA60, FFCA62, FFCA64, FFCA66, FFCA68, FFCA6A, FFCA6C, FFCA6E, FFCA70, FFCA72, FFCA74, FFCA76, FFCA78, FFCA7A, FFCA7C, FFCA7E, FFCA80, FFCA82, FFCA84, FFCA86, FFCA88, FFCA8A, FFCA8C, FFCA8E, FFCA90, FFCA92, FFCA94, FFCA96, FFCA98, FFCA9A, FFCA9C, FFCA9E, FFCAA0, FFCAA2, FFCAA4, FFCAA6, FFCAA8, FFCAAA, FFCAAC, FFCAAE, FFCAB0, FFCAB2, FFCAB4, FFCAB6, FFCAB8, FFCABA, FFCABC, FFCABE, FFCAC0, FFCAC2, FFCAC4, FFCAC6, FFCAC8, FFCACA, FFCACC, FFCACE, FFCAD0, FFCAD2, FFCAD4, FFCAD6, FFCAD8, FFCADA, FFCADC, FFCADE, FFCAE0, FFCAE2, FFCAE4, FFCAE6, FFCAE8, FFCAEA, FFCAEC, FFCAEE, FFCAF0, FFCAF2, FFCAF4, FFCAF6, FFCAF8, FFCAFA, FFCAFC, FFCAFE, FFCB00, FFCB02, FFCB04, FFCB06, FFCB08, FFCB0A, FFCB0C, FFCB0E, FFCB10, FFCB12, FFCB14, FFCB16, FFCB18, FFCB1A, FFCB1C, FFCB1E, FFCB20, FFCB22, FFCB24, FFCB26, FFCB28, FFCB2A, FFCB2C, FFCB2E, FFCB30, FFCB32, FFCB34, FFCB36, FFCB38, FFCB3A, FFCB3C, FFCB3E, FFCB40, FFCB42, FFCB44, FFCB46, FFCB48, FFCB4A, FFCB4C, FFCB4E, FFCB50, FFCB52, FFCB54, FFCB56, FFCB58, FFCB5A, FFCB5C, FFCB5E, FFCB60, FFCB62, FFCB64, FFCB66, FFCB68, FFCB6A, FFCB6C, FFCB6E, FFCB70, FFCB72, FFCB74, FFCB76, FFCB78, FFCB7A, FFCB7C, FFCB7E, FFCB80, FFCB82, FFCB84, FFCB86, FFCB88, FFCB8A, FFCB8C, FFCB8E, FFCB90, FFCB92, FFCB94, FFCB96, FFCB98, FFCB9A, FFCB9C, FFCB9E, FFCBA0, FFCBA2, FFCBA4, FFCBA6, FFCBA8, FFCBAA, FFCBAC, FFCBAE, FFCBB0, FFCBB2, FFCBB4, FFCBB6, FFCBB8, FFCBBA, FFCBBC, FFCBBE, FFCBC0, FFCBC2, FFCBC4, FFCBC6, FFCBC8, FFCBCA, FFCBCC, FFCBCE, FFCBD0, FFCBD2, FFCBD4, FFCBD6, FFCBD8, FFCBDA, FFCBDC, FFCBDE, FFCBE0, FFCBE2, FFCBE4, FFCBE6, FFCBE8, FFCBEA, FFCBEC, FFCBEE, FFCBF0, FFCBF2, FFCBF4, FFCBF6, FFCBF8, FFCBFA, FFCBFC, FFCBFE, FFCC00, FFCC02, FFCC04, FFCC06, FFCC08, FFCC0A, FFCC0C, FFCC0E, FFCC10, FFCC12, FFCC14, FFCC16, FFCC18, FFCC1A, FFCC1C, FFCC1E, FFCC20, FFCC22, FFCC24, FFCC26, FFCC28, FFCC2A, FFCC2C, FFCC2E, FFCC30, FFCC32, FFCC34, FFCC36, FFCC38, FFCC3A, FFCC3C, FFCC3E, FFCC40, FFCC42, FFCC44, FFCC46, FFCC48, FFCC4A, FFCC4C, FFCC4E, FFCC50, FFCC52, FFCC54, FFCC56, FFCC58, FFCC5A, FFCC5C, FFCC5E, FFCC60, FFCC62, FFCC64, FFCC66, FFCC68, FFCC6A, FFCC6C, FFCC6E, FFCC70, FFCC72, FFCC74, FFCC76, FFCC78, FFCC7A, FFCC7C, FFCC7E, FFCC80, FFCC82, FFCC84, FFCC86, FFCC88, FFCC8A, FFCC8C, FFCC8E, FFCC90, FFCC92, FFCC94, FFCC96, FFCC98, FFCC9A, FFCC9C, FFCC9E, FFCCA0, FFCCA2, FFCCA4, FFCCA6, FFCCA8, FFCCAA, FFCCAC, FFCCAE, FFCCB0, FFCCB2, FFCCB4, FFCCB6, FFCCB8, FFCCBA, FFCCBC, FFCCBE, FFCCC0, FFCCC2, FFCCC4, FFCCC6, FFCCC8, FFCCCA, FFCCCC, FFCCCE, FFCCD0, FFCCD2, FFCCD4, FFCCD6, FFCCD8, FFCCDA, FFCCDC, FFCCDE, FFCCE0, FFCCE2, FFCCE4, FFCCE6, FFCCE8, FFCCEA, FFCCEC, FFCCEE, FFCCF0, FFCCF2, FFCCF4, FFCCF6, FFCCF8, FFCCFA, FFCCFC, FFCCFE, FFCD00, FFCD02, FFCD04, FFCD06, FFCD08, FFCD0A, FFCD0C, FFCD0E, FFCD10, FFCD12, FFCD14, FFCD16, FFCD18, FFCD1A, FFCD1C, FFCD1E, FFCD20, FFCD22, FFCD24, FFCD26, FFCD28, FFCD2A, FFCD2C, FFCD2E, FFCD30, FFCD32, FFCD34, FFCD36, FFCD38, FFCD3A, FFCD3C, FFCD3E, FFCD40, FFCD42, FFCD44, FFCD46, FFCD48, FFCD4A, FFCD4C, FFCD4E, FFCD50, FFCD52, FFCD54, FFCD56, FFCD58, FFCD5A, FFCD5C, FFCD5E, FFCD60, FFCD62, FFCD64, FFCD66, FFCD68, FFCD6A, FFCD6C, FFCD6E, FFCD70, FFCD72, FFCD74, FFCD76, FFCD78, FFCD7A, FFCD7C, FFCD7E, FFCD80, FFCD82, FFCD84, FFCD86, FFCD88, FFCD8A, FFCD8C, FFCD8E, FFCD90, FFCD92, FFCD94, FFCD96, FFCD98, FFCD9A, FFCD9C, FFCD9E, FFCDA0, FFCDA2, FFCDA4, FFCDA6, FFCDA8, FFCDAA, FFCDAC, FFCDAE, FFCDB0, FFCDB2, FFCDB4, FFCDB6, FFCDB8, FFCDBA, FFCDBC, FFCDBE, FFCDC0, FFCDC2, FFCDC4, FFCDC6, FFCDC8, FFCDCA, FFCDCC, FFCDCE, FFCDD0, FFCDD2, FFCDD4, FFCDD6, FFCDD8, FFCDDA, FFCDDC, FFCDDE, FFCDE0, FFCDE2, FFCDE4, FFCDE6, FFCDE8, FFCDEA, FFCDEC, FFCDEE, FFCDF0, FFCDF2, FFCDF4, FFCDF6, FFCDF8, FFCDFA, FFCDFC, FFCDFE, FFCE00, FFCE02, FFCE04, FFCE06, FFCE08, FFCE0A, FFCE0C, FFCE0E, FFCE10, FFCE12, FFCE14, FFCE16, FFCE18, FFCE1A, FFCE1C, FFCE1E, FFCE20, FFCE22, FFCE24, FFCE26, FFCE28, FFCE2A, FFCE2C, FFCE2E, FFCE30, FFCE32, FFCE34, FFCE36, FFCE38, FFCE3A, FFCE3C, FFCE3E, FFCE40, FFCE42, FFCE44, FFCE46, FFCE48, FFCE4A, FFCE4C, FFCE4E, FFCE50, FFCE52, FFCE54, FFCE56, FFCE58, FFCE5A, FFCE5C, FFCE5E, FFCE60, FFCE62, FFCE64, FFCE66, FFCE68, FFCE6A, FFCE6C, FFCE6E, FFCE70, FFCE72, FFCE74, FFCE76, FFCE78, FFCE7A, FFCE7C, FFCE7E, FFCE80, FFCE82, FFCE84, FFCE86, FFCE88, FFCE8A, FFCE8C, FFCE8E, FFCE90, FFCE92, FFCE94, FFCE96, FFCE98, FFCE9A, FFCE9C, FFCE9E, FFCEA0, FFCEA2, FFCEA4, FFCEA6, FFCEA8, FFCEAA, FFCEAC, FFCEAE, FFCEB0, FFCEB2, FFCEB4, FFCEB6, FFCEB8, FFCEBA, FFCEBC, FFCEBE, FFCEC0, FFCEC2, FFCEC4, FFCEC6, FFCEC8, FFCECA, FFCECC, FFCECE, FFCED0, FFCED2, FFCED4, FFCED6, FFCED8, FFCEDA, FFCEDC, FFCEDE, FFCEE0, FFCEE2, FFCEE4, FFCEE6, FFCEE8, FFCEEA, FFCEEC, FFCEEE, FFCEF0, FFCEF2, FFCEF4, FFCEF6, FFCEF8, FFCEFA, FFCEFC, FFCEFE, FFCF00, FFCF02, FFCF04, FFCF06, FFCF08, FFCF0A, FFCF0C, FFCF0E, FFCF10, FFCF12, FFCF14, FFCF16, FFCF18, FFCF1A, FFCF1C, FFCF1E, FFCF20, FFCF22, FFCF24, FFCF26, FFCF28, FFCF2A, FFCF2C, FFCF2E, FFCF30, FFCF32, FFCF34, FFCF36, FFCF38, FFCF3A, FFCF3C, FFCF3E, FFCF40, FFCF42, FFCF44, FFCF46, FFCF48, FFCF4A, FFCF4C, FFCF4E, FFCF50, FFCF52, FFCF54, FFCF56, FFCF58, FFCF5A, FFCF5C, FFCF5E, FFCF60, FFCF62, FFCF64, FFCF66, FFCF68, FFCF6A, FFCF6C, FFCF6E, FFCF70, FFCF72, FFCF74, FFCF76, FFCF78, FFCF7A, FFCF7C, FFCF7E, FFCF80, FFCF82, FFCF84, FFCF86, FFCF88, FFCF8A, FFCF8C, FFCF8E, FFCF90, FFCF92, FFCF94, FFCF96, FFCF98, FFCF9A, FFCF9C, FFCF9E, FFCFA0, FFCFA2, FFCFA4, FFCFA6, FFCFA8, FFCFAA, FFCFAC, FFCFAE, FFCFB0, FFCFB2, FFCFB4, FFCFB6, FFCFB8, FFCFBA, FFCFBC, FFCFBE, FFCFC0, FFCFC2, FFCFC4, FFCFC6, FFCFC8, FFCFCA, FFCFCC, FFCFCE, FFCFD0, FFCFD2, FFCFD4, FFCFD6, FFCFD8, FFCFDA, FFCFDC, FFCFDE, FFCFE0, FFCFE2, FFCFE4, FFCFE6, FFCFE8, FFCFEA, FFCFEC, FFCFEE, FFCFF0, FFCFF2, FFCFF4, FFCFF6, FFCFF8, FFCFFA, FFCFFC, FFCFFE, FFD000, FFD002, FFD004, FFD006, FFD008, FFD00A, FFD00C, FFD00E, FFD010, FFD012, FFD014, FFD016, FFD018, FFD01A, FFD01C, FFD01E, FFD020, FFD022, FFD024, FFD026, FFD028, FFD02A, FFD02C, FFD02E, FFD030, FFD032, FFD034, FFD036, FFD038, FFD03A, FFD03C, FFD03E, FFD040, FFD042, FFD044, FFD046, FFD048, FFD04A, FFD04C, FFD04E, FFD050, FFD052, FFD054, FFD056, FFD058, FFD05A, FFD05C, FFD05E, FFD060, FFD062, FFD064, FFD066, FFD068, FFD06A, FFD06C, FFD06E, FFD070, FFD072, FFD074, FFD076, FFD078, FFD07A, FFD07C, FFD07E, FFD080, FFD082, FFD084, FFD086, FFD088, FFD08A, FFD08C, FFD08E, FFD090, FFD092, FFD094, FFD096, FFD098, FFD09A, FFD09C, FFD09E, FFD0A0, FFD0A2, FFD0A4, FFD0A6, FFD0A8, FFD0AA, FFD0AC, FFD0AE, FFD0B0, FFD0B2, FFD0B4, FFD0B6, FFD0B8, FFD0BA, FFD0BC, FFD0BE, FFD0C0, FFD0C2, FFD0C4, FFD0C6, FFD0C8, FFD0CA, FFD0CC, FFD0CE, FFD0D0, FFD0D2, FFD0D4, FFD0D6, FFD0D8, FFD0DA, FFD0DC, FFD0DE, FFD0E0, FFD0E2, FFD0E4, FFD0E6, FFD0E8, FFD0EA, FFD0EC, FFD0EE, FFD0F0, FFD0F2, FFD0F4, FFD0F6, FFD0F8, FFD0FA, FFD0FC, FFD0FE, FFD100, FFD102, FFD104, FFD106, FFD108, FFD10A, FFD10C, FFD10E, FFD110, FFD112, FFD114, FFD116, FFD118, FFD11A, FFD11C, FFD11E, FFD120, FFD122, FFD124, FFD126, FFD128, FFD12A, FFD12C, FFD12E, FFD130, FFD132, FFD134, FFD136, FFD138, FFD13A, FFD13C, FFD13E, FFD140, FFD142, FFD144, FFD146, FFD148, FFD14A, FFD14C, FFD14E, FFD150, FFD152, FFD154, FFD156, FFD158, FFD15A]	
0015A4	0015A4	[FF8312]	
0015A6	0015A6	[FF870E, FF8712, FF8716, FF871A, FF871E, FF8722, FF8726, FF872A, FF872E, FF8732]	
0015B2	0015B2	[FF870C, FF8710, FF8714, FF8718, FF871C, FF8720, FF8724, FF8728, FF872C, FF8730]	
0015B6	0015B6	[FF8312]	
0015BA	0015BA	[FF830C]	
0015C6	0015C6	[FFBE44, FFBF24, FFC004, FFCA84, FFCB64, FFCC44, FFCD24, FFCE04, FFCEE4, FFCFC4, FFD0A4]	
0015D8	0015D8	[FF8316]	
0015DE	0015DE	[FF8316]	
0015E2	0015E2	[FF8310]	
0015E8	0015E8	[FF8312]	
0015EA	0015EA	[FF86EE, FF86F2, FF86F6, FF86FA, FF86FE, FF8702, FF8706, FF870A, FF870E, FF8712, FF8716, FF871A, FF871E, FF8722, FF8726, FF872A, FF872E, FF8732, FF8736, FF873A, FF873E]	
