copyright	zengfr	site:http://github.com/zengfr/romhack
FF8000	base+  0	[01A57C]	
FF8002	base+  2	[01A57C]	
FF8004	base+  4	[01A57C]	
FF8006	base+  6	[01A57C]	
FF8008	base+  8	[01A57C]	
FF800A	base+  A	[01A57C]	
FF800C	base+  C	[01A57C]	
FF800E	base+  E	[01A57C]	
FF8010	base+ 10	[01A57C]	
FF8012	base+ 12	[01A57C]	
FF8014	base+ 14	[01A57C]	
FF8016	base+ 16	[01A57C]	
FF8018	base+ 18	[01A57C]	
FF801A	base+ 1A	[01A57C]	
FF801C	base+ 1C	[01A57C]	
FF801E	base+ 1E	[01A57C]	
FF8020	base+ 20	[01A57C]	
FF8022	base+ 22	[01A57C]	
FF8024	base+ 24	[01A57C]	
FF8026	base+ 26	[01A57C]	
FF8028	base+ 28	[01A57C]	
FF802A	base+ 2A	[01A57C]	
FF802C	base+ 2C	[01A57C]	
FF802E	base+ 2E	[01A57C]	
FF8030	base+ 30	[01A57C]	
FF8032	base+ 32	[01A57C]	
FF8034	base+ 34	[01A57C]	
FF8036	base+ 36	[01A57C]	
FF8038	base+ 38	[01A57C]	
FF803A	base+ 3A	[01A57C]	
FF803C	base+ 3C	[01A57C]	
FF803E	base+ 3E	[01A57C]	
FF8040	base+ 40	[01A57C]	
FF8042	base+ 42	[01A57C]	
FF8044	base+ 44	[01A57C]	
FF8046	base+ 46	[01A57C]	
FF8048	base+ 48	[01A57C]	
FF804A	base+ 4A	[01A57C]	
FF804C	base+ 4C	[01A57C]	
FF804E	base+ 4E	[01A57C]	
FF8050	base+ 50	[01A57C]	
FF8052	base+ 52	[01A57C]	
FF8054	base+ 54	[01A57C]	
FF8056	base+ 56	[01A57C]	
FF8058	base+ 58	[01A57C]	
FF805A	base+ 5A	[01A57C]	
FF805C	base+ 5C	[01A57C]	
FF805E	base+ 5E	[01A57C]	
FF8060	base+ 60	[01A57C]	
FF8062	base+ 62	[01A57C]	
FF8064	base+ 64	[01A57C]	
FF8066	base+ 66	[01A57C]	
FF8068	base+ 68	[01A57C]	
FF806A	base+ 6A	[01A57C]	
FF806C	base+ 6C	[01A57C]	
FF806E	base+ 6E	[01A57C]	
FF8070	base+ 70	[01A57C]	
FF8072	base+ 72	[01A57C]	
FF8074	base+ 74	[01A57C]	
FF8076	base+ 76	[01A57C]	
FF8078	base+ 78	[01A57C]	
FF807A	base+ 7A	[01A57C]	
FF807C	base+ 7C	[01A57C]	
FF807E	base+ 7E	[01A57C]	
FF8080	base+ 80	[01A57C]	
FF8082	base+ 82	[01A57C]	
FF8084	base+ 84	[01A57C]	
FF8086	base+ 86	[01A57C]	
FF8088	base+ 88	[05E542, 05E54E, 05E556, 05E568]	
FF8188	base+188	[0042DA, 00B34C, 01A610, 021486]	
FF818A	base+18A	[001E28, 01A610]	
FF818C	base+18C	[001E2E, 01A610]	
FF818E	base+18E	[001E12, 001E20, 01A610]	
FF8190	base+190	[005EB4, 005EC2, 005F4A, 006086, 006150, 006170, 0062F2, 006302, 006324, 006688, 01A610, 0215F6, 021634, 04C7D8, 058F62, 05905C, 0590D2, 0597FE, 05E186, 05E7F6, 05E868, 05E8BA]	
FF8191	base+191	[0106E2, 011362, 0113A4]	
FF8192	base+192	[001DF8, 01A610, 05E528]	
FF8194	base+194	[001DF8, 01A610, 05E528]	
FF8196	base+196	[001DE8, 001DF2, 01A610]	
FF8198	base+198	[01A610]	
FF8199	base+199	[011820, 01ACF4, 022C50, 022CA2, 022CFC, 022D00]	
FF819A	base+19A	[01A610, 05351A]	
FF819C	base+19C	[01A610, 05351A]	
FF819E	base+19E	[01A610, 053526]	
FF81A0	base+1A0	[01A610]	
FF81A2	base+1A2	[01A610, 0535D2, 05360C, 053616, 053638, 053642, 053654, 05365E]	
FF81A4	base+1A4	[01A610, 0535D8, 053610, 05361A, 05363C, 053646, 053658, 053662]	
FF81A6	base+1A6	[0016EC, 003D02, 008738, 011B34, 011C5E, 011D56, 011EEA, 012786, 012F1A, 017C04, 01A610, 053B92, 05652E]	
FF81A8	base+1A8	[017CA4, 017E5A, 017E60, 017EE2, 01A610]	
FF81AA	base+1AA	[00298E, 0029CE, 00CDAC, 012AEE, 012F48, 0156D4, 0156DA, 017A62, 01A610, 0562A4, 0564F8, 05654E, 0568EA]	
FF81AC	base+1AC	[0020F2, 003D42, 00AFEC, 00BC08, 0107FE, 010816, 01086E, 01A610, 01AAAA, 01AD60, 053BD4, 053BFC]	
FF81AD	base+1AD	[01139C, 022D06, 022D1C, 053BE4, 053C0C, 053C78, 053CB6, 053CDE]	
FF81AE	base+1AE	[010A04, 011396, 01A610, 053CEC]	
FF81AF	base+1AF	[0221A8, 02232C]	
FF81B0	base+1B0	[00B268, 00BBEC, 00BBFC, 01A610]	
FF81B2	base+1B2	[012A4A, 012AA2, 012AAA, 012BA6, 01A610, 01AD74, 01AD7A, 01AD9C]	
FF81B4	base+1B4	[012A44, 012AAE, 012B6E, 012DA2, 01A610, 01AD6E, 01AD8E, 01AD96]	
FF81B6	base+1B6	[01A610, 01ACFA]	
FF81B8	base+1B8	[012BDC, 012BE2, 01A610]	
FF81BA	base+1BA	[012A50, 012AD2, 012B2C, 012BE8, 012BF6, 01A610]	
FF81BC	base+1BC	[012A56, 012AD8, 012BEE, 012C0E, 012C7C, 01A610]	
FF81BE	base+1BE	[012C68, 012CD6, 01A610]	
FF81C0	base+1C0	[012A32, 012A86, 01A610]	
FF81C1	base+1C1	[012ADC, 012C16, 012C70, 012C84, 012D8E]	
FF81C2	base+1C2	[01A610]	
FF81C3	base+1C3	[012ACC, 012BD0, 012C6C, 012C80, 012D8A]	
FF81C4	base+1C4	[006018, 012C20, 012C74, 012C98, 01A610]	
FF81C5	base+1C5	[012C26, 012C8C, 012C94, 012C9E, 012CAA]	
FF81C6	base+1C6	[012AC8, 012B00, 012B20, 01A610]	
FF81C7	base+1C7	[012A5C, 012B1A, 012B26]	
FF81C8	base+1C8	[012A7E, 012B08, 012B16, 01A610]	
FF81C9	base+1C9	[012C00, 012D92, 015510, 025326, 053AF0, 053CE8]	
FF81CA	base+1CA	[01A610, 0213BA, 021568, 0221F0]	
FF81CB	base+1CB	[003C88, 004150, 00544C, 01550C, 0155F0, 01568C, 01572E]	
FF81CC	base+1CC	[012D98, 012FE0, 01A610]	
