copyright	zengfr	site:http://github.com/zengfr/romhack
FF8000	base+  0	[0]	
FF8002	base+  2	[0]	
FF8004	base+  4	[0]	
FF8006	base+  6	[0]	
FF8008	base+  8	[0]	
FF800A	base+  A	[0]	
FF800C	base+  C	[0]	
FF800E	base+  E	[0]	
FF8010	base+ 10	[0]	
FF8012	base+ 12	[0]	
FF8014	base+ 14	[0]	
FF8016	base+ 16	[0]	
FF8018	base+ 18	[0]	
FF801A	base+ 1A	[0]	
FF801C	base+ 1C	[0]	
FF801E	base+ 1E	[0]	
FF8020	base+ 20	[0]	
FF8022	base+ 22	[0]	
FF8024	base+ 24	[0]	
FF8026	base+ 26	[0]	
FF8028	base+ 28	[0]	
FF802A	base+ 2A	[0]	
FF802C	base+ 2C	[0]	
FF802E	base+ 2E	[0]	
FF8030	base+ 30	[0]	
FF8032	base+ 32	[0]	
FF8034	base+ 34	[0]	
FF8036	base+ 36	[0]	
FF8038	base+ 38	[0]	
FF803A	base+ 3A	[0]	
FF803C	base+ 3C	[0]	
FF803E	base+ 3E	[0]	
FF8040	base+ 40	[0]	
FF8042	base+ 42	[0]	
FF8044	base+ 44	[0]	
FF8046	base+ 46	[0]	
FF8048	base+ 48	[0]	
FF804A	base+ 4A	[0]	
FF804C	base+ 4C	[0]	
FF804E	base+ 4E	[0]	
FF8050	base+ 50	[0]	
FF8052	base+ 52	[0]	
FF8054	base+ 54	[0]	
FF8056	base+ 56	[0]	
FF8058	base+ 58	[0]	
FF805A	base+ 5A	[0]	
FF805C	base+ 5C	[0]	
FF805E	base+ 5E	[0]	
FF8060	base+ 60	[0]	
FF8062	base+ 62	[0]	
FF8064	base+ 64	[0]	
FF8066	base+ 66	[0]	
FF8068	base+ 68	[0]	
FF806A	base+ 6A	[0]	
FF806C	base+ 6C	[0]	
FF806E	base+ 6E	[0]	
FF8070	base+ 70	[0]	
FF8072	base+ 72	[0]	
FF8074	base+ 74	[0]	
FF8076	base+ 76	[0]	
FF8078	base+ 78	[0]	
FF807A	base+ 7A	[0]	
FF807C	base+ 7C	[0]	
FF807E	base+ 7E	[0]	
FF8080	base+ 80	[0]	
FF8082	base+ 82	[0]	
FF8084	base+ 84	[0]	
FF8086	base+ 86	[0]	
FF8088	base+ 88	[0]	
FF8188	base+188	[0, FF]	
FF818A	base+18A	[0, 35F9, 3618, 361B]	
FF818C	base+18C	[0, 35E9, 3608, 360B]	
FF818E	base+18E	[0, 4, 8]	
FF8190	base+190	[0]	
FF8191	base+191	[0, 1]	
FF8192	base+192	[0, 8]	
FF8194	base+194	[0, D812, D846, D880]	
FF8196	base+196	[0, 4, 8]	
FF8198	base+198	[0]	
FF8199	base+199	[0, 1]	
FF819A	base+19A	[0, 5]	
FF819C	base+19C	[0, 3676, 36AE, 36E6, 371E, 3756, 378E]	
FF819E	base+19E	[0, C000]	
FF81A0	base+1A0	[0]	
FF81A2	base+1A2	[0, 1, 1A1, 1A3, 1A5, 1A7, 1A8, 1AA, 1AC, 1AE, 1B0, 1B2, 1B4, 1B6, 1B8, 1BA, 1BB, 1BD, 1BF, 1C1, 1C3, 1C5, 1C7, 1C9, 1CB, 1CC, 1CE, 1D0, 2, 4, 6, 8, A, C, E, FFFD]	
FF81A4	base+1A4	[0, 1A1, 1A3, 1A5, 1A7, 1A9, 1AA, 1AC, 1AE, 1B0, 1B2, 1B4, 1B6, 1B8, 1BA, 1BC, 1BD, 1BF, 1C1, 1C3, 1C5, 1C7, 1C9, 1CB, 1CD, 1CF, 1D0, 1D2, 1D3, 1D4, 5, 8, A, C, E, FFFC]	
FF81A6	base+1A6	[0, CF9C]	
FF81A8	base+1A8	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 44, 45, 46, 47, 48, 49, 4A, 4B, 4C, 4D, 4E, 4F, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 5A, 5B, 5C, F]	
FF81AA	base+1AA	[0, 2, FF]	
FF81AC	base+1AC	[0, 1, 2, 3]	
FF81AD	base+1AD	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	
FF81AE	base+1AE	[0, 1, 2]	
FF81AF	base+1AF	[0, F9, FA, FB, FC, FD, FE, FF]	
FF81B0	base+1B0	[0, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AB, 1AC, 1AD, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, 1B4, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, FF]	
FF81B2	base+1B2	[0, 1A0, 1A00, 1A04, 1A08, 1A4, 1A8, 1AC, 1B0, 1B4, 1B8, 2300, 2304, 2308, 230C, 231C, 2320, 2D1C, 2D20, 2D24, 2D28, 2D34, 2D38, 3630, 3634, 3638, 363C, 3640, 364C, 3650, BBC, BC0, BC4, BC8, BCC, BD0, FFFC]	
FF81B4	base+1B4	[0, 1, 2, 3, 4, 5, 6]	
FF81B6	base+1B6	[0, 4, 8]	
FF81B8	base+1B8	[0, 1CB, 1CC, 1CD, 1CE, 1D0, 1D2, 1D4, 1D6, 1D7, 1D9, 800, 802, 804, 806, 808, 80A, 80C, 80E, 810, 812, 814, 816, 818, 81A, A0, A2, A3, A5, A7, A9, AB, AD, AF, B0]	
FF81BA	base+1BA	[0, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AB, 1AC, 1AD, 3E2, 3E3, 3E4, 3E5, 3E6, 3E7, 3E8, 3E9, 3EA, 3EB, 3EC, 3ED, 3EE, 3EF, A0, A1, A2, A3, A4, A5, A6, FF]	
FF81BC	base+1BC	[0, 10A, 10B, 10C, 10D, 10E, 10F, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 11A, 11B, 11C, 11D, 11E, 11F, 120, 121, 122, 123, 124, 125, 126, F5, F6, F7, F8, F9, FF]	
FF81BE	base+1BE	[0, 14]	
FF81C0	base+1C0	[0, 2]	
FF81C1	base+1C1	[0, FF]	
FF81C2	base+1C2	[0]	
FF81C3	base+1C3	[0, FF]	
FF81C4	base+1C4	[0, 1, 2, 3, FF]	
FF81C5	base+1C5	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9, A, B, C, FF]	
FF81C6	base+1C6	[0]	
FF81C7	base+1C7	[0, 1, 2, 3, 5, FF]	
FF81C8	base+1C8	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 2, 20, 21, 22, 23, 24, 3, 4, 5, 6, 7, 8, 9, A, B, C, FF]	
FF81C9	base+1C9	[0, FF]	
FF81CA	base+1CA	[0, FF]	
FF81CB	base+1CB	[0, FF]	
FF81CC	base+1CC	[0]	
FF81CD	base+1CD	[0, FF]	
FF81CE	base+1CE	[0, 90]	
FF81D0	base+1D0	[0, B12C]	
FF81D2	base+1D2	[0, 90]	
FF81D4	base+1D4	[0, B3AC]	
FF81D6	base+1D6	[0, 30]	
FF81D8	base+1D8	[0, 90]	
FF81DA	base+1DA	[0, BC38]	
FF81DC	base+1DC	[0, FF]	
FF81DD	base+1DD	[0, 2]	
FF81DE	base+1DE	[0, 4E, 4F, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 5A, 5B, 5C, 5D, 5D34, 5E, 5F, 60, 61, 62, 63, 6C, 76]	
FF81DF	base+1DF	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 2, 20, 21, 22, 23, 24, 25, 3, 4, 5, 6, 7, 8, 9, A, B, C, FF]	
FF81E0	base+1E0	[0]	
FF81E2	base+1E2	[0, FF]	
FF81E4	base+1E4	[0, FF]	
FF81E6	base+1E6	[0, 5E7A, 6056]	
FF81E8	base+1E8	[0]	
FF81EA	base+1EA	[0]	
FF81EC	base+1EC	[0]	
FF81EE	base+1EE	[0]	
FF81F0	base+1F0	[0]	
FF81F2	base+1F2	[0]	
FF81F4	base+1F4	[0, 2]	
FF81F6	base+1F6	[0]	
FF81F8	base+1F8	[0]	
FF81F9	base+1F9	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 2, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, B0, B1, B2, B3, FF]	
